player_id,player_name,team_id,game_date,prob_10_plus,prob_8_plus,prob_6_plus,prob_4_plus,is_playing_today
1627734,Domantas Sabonis,1610612758,2025-01-22,0.9496904611050603,0.9370694191191972,0.9527641801275708,0.99865973,1
1641705,Victor Wembanyama,1610612759,2025-01-19,0.8911442126276102,0.8869754124099403,0.9010129742451872,0.99453616,1
203999,Nikola Jokić,1610612743,2025-01-21,0.887783419583211,0.9304263951468973,0.9515668066640249,0.9938869,1
203507,Giannis Antetokounmpo,1610612749,2025-01-19,0.8718875600628841,0.9170057736625573,0.9143881493135849,0.9934521,1
203076,Anthony Davis,1610612747,2025-01-21,0.8661853094914981,0.9002188112055272,0.9584777423824944,0.9914078,0
1626157,Karl-Anthony Towns,1610612752,2025-01-21,0.8641175330992439,0.8810967535878754,0.9106928133823589,0.9924689,0
1631117,Walker Kessler,1610612762,2025-01-22,0.8605095306146034,0.8725333726646899,0.9108465540703422,0.98187906,0
202696,Nikola Vučević,1610612741,2025-01-20,0.8552665523274123,0.8335128595388218,0.9125574725388815,0.9982597,1
1631105,Jalen Duren,1610612765,2025-01-22,0.8128019378776434,0.8308780477964496,0.8892902303995089,0.9498615,0
1627826,Ivica Zubac,1610612746,2025-01-19,0.7855111624050826,0.9074269191369438,0.9272870865808215,0.9973105,0
