game_id,game_date,rebounds,minutes,fouls,player_id,player_name,team_id
22200846,2023-02-11,6,37,2,201935,James Harden,1610612746
22200860,2023-02-13,2,32,1,201935,James Harden,1610612746
22200875,2023-02-15,4,38,1,201935,James Harden,1610612746
22200889,2023-02-23,7,40,2,201935,James Harden,1610612746
22200908,2023-02-25,6,41,1,201935,James Harden,1610612746
22200920,2023-02-27,6,39,1,201935,James Harden,1610612746
22200936,2023-03-01,7,37,2,201935,James Harden,1610612746
22200943,2023-03-02,4,38,1,201935,James Harden,1610612746
22200960,2023-03-04,9,39,1,201935,James Harden,1610612746
22200972,2023-03-06,9,40,0,201935,James Harden,1610612746
22200998,2023-03-10,9,39,3,201935,James Harden,1610612746
22201016,2023-03-12,2,33,0,201935,James Harden,1610612746
22201035,2023-03-15,6,40,4,201935,James Harden,1610612746
22201047,2023-03-17,11,31,1,201935,James Harden,1610612746
22201072,2023-03-20,7,47,2,201935,James Harden,1610612746
22201139,2023-03-29,4,38,3,201935,James Harden,1610612746
22201150,2023-03-31,3,37,2,201935,James Harden,1610612746
22201174,2023-04-02,2,34,3,201935,James Harden,1610612746
22201181,2023-04-04,5,40,1,201935,James Harden,1610612746
22201198,2023-04-06,4,28,1,201935,James Harden,1610612746
22300151,2023-11-06,3,31,2,201935,James Harden,1610612746
22300160,2023-11-08,8,36,0,201935,James Harden,1610612746
22300014,2023-11-10,5,29,0,201935,James Harden,1610612746
22300179,2023-11-12,4,29,0,201935,James Harden,1610612746
22300024,2023-11-14,2,35,3,201935,James Harden,1610612746
22300037,2023-11-17,9,34,1,201935,James Harden,1610612746
22300223,2023-11-20,3,28,2,201935,James Harden,1610612746
22300235,2023-11-22,6,36,3,201935,James Harden,1610612746
22300052,2023-11-24,5,37,3,201935,James Harden,1610612746
22300244,2023-11-25,4,28,1,201935,James Harden,1610612746
22300257,2023-11-27,2,36,3,201935,James Harden,1610612746
22300264,2023-11-29,3,39,4,201935,James Harden,1610612746
22300273,2023-11-30,3,37,3,201935,James Harden,1610612746
22300280,2023-12-02,5,35,4,201935,James Harden,1610612746
22301215,2023-12-06,1,32,0,201935,James Harden,1610612746
22301225,2023-12-08,7,34,2,201935,James Harden,1610612746
22300304,2023-12-11,7,37,2,201935,James Harden,1610612746
22300309,2023-12-12,6,28,3,201935,James Harden,1610612746
22300325,2023-12-14,7,42,3,201935,James Harden,1610612746
22300343,2023-12-16,4,28,3,201935,James Harden,1610612746
22300350,2023-12-18,3,28,2,201935,James Harden,1610612746
22300372,2023-12-20,5,39,3,201935,James Harden,1610612746
22300379,2023-12-21,9,34,1,201935,James Harden,1610612746
22300389,2023-12-23,4,29,4,201935,James Harden,1610612746
22300414,2023-12-26,6,40,2,201935,James Harden,1610612746
22300438,2023-12-29,4,44,1,201935,James Harden,1610612746
22300458,2024-01-01,4,31,1,201935,James Harden,1610612746
22300473,2024-01-03,5,36,2,201935,James Harden,1610612746
22300486,2024-01-05,3,29,2,201935,James Harden,1610612746
22300505,2024-01-07,4,39,3,201935,James Harden,1610612746
22300511,2024-01-08,7,30,1,201935,James Harden,1610612746
22300526,2024-01-10,5,34,4,201935,James Harden,1610612746
22300537,2024-01-12,1,28,0,201935,James Harden,1610612746
22300553,2024-01-14,1,36,3,201935,James Harden,1610612746
22300568,2024-01-16,5,41,2,201935,James Harden,1610612746
22300600,2024-01-21,5,38,2,201935,James Harden,1610612746
22300618,2024-01-23,2,39,3,201935,James Harden,1610612746
22300637,2024-01-26,10,35,3,201935,James Harden,1610612746
22300646,2024-01-27,8,27,2,201935,James Harden,1610612746
22300658,2024-01-29,7,39,2,201935,James Harden,1610612746
22300676,2024-01-31,9,33,2,201935,James Harden,1610612746
22300688,2024-02-02,3,34,1,201935,James Harden,1610612746
22300708,2024-02-04,8,42,1,201935,James Harden,1610612746
22300716,2024-02-05,8,39,3,201935,James Harden,1610612746
22300731,2024-02-07,8,38,2,201935,James Harden,1610612746
22300749,2024-02-10,6,36,1,201935,James Harden,1610612746
22300770,2024-02-12,2,32,0,201935,James Harden,1610612746
22300789,2024-02-14,8,40,0,201935,James Harden,1610612746
22300799,2024-02-22,6,29,2,201935,James Harden,1610612746
22300807,2024-02-23,8,39,0,201935,James Harden,1610612746
22300827,2024-02-25,5,35,3,201935,James Harden,1610612746
22300848,2024-02-28,3,40,1,201935,James Harden,1610612746
22300865,2024-03-01,4,25,1,201935,James Harden,1610612746
22300873,2024-03-03,5,34,1,201935,James Harden,1610612746
22300880,2024-03-04,4,37,2,201935,James Harden,1610612746
22300897,2024-03-06,5,39,2,201935,James Harden,1610612746
22300917,2024-03-09,11,34,2,201935,James Harden,1610612746
22300924,2024-03-10,5,36,4,201935,James Harden,1610612746
22300944,2024-03-12,2,34,1,201935,James Harden,1610612746
