game_id,game_date,rebounds,minutes,fouls,player_id,player_name,team_id
22200939,2023-03-01,4,17,2,1626171,Bobby Portis,1610612749
22200960,2023-03-04,5,16,2,1626171,Bobby Portis,1610612749
22200973,2023-03-05,7,19,1,1626171,Bobby Portis,1610612749
22200978,2023-03-07,11,31,2,1626171,Bobby Portis,1610612749
22200995,2023-03-09,13,30,3,1626171,Bobby Portis,1610612749
22201012,2023-03-11,13,32,0,1626171,Bobby Portis,1610612749
22201026,2023-03-13,3,19,1,1626171,Bobby Portis,1610612749
22201033,2023-03-14,4,20,0,1626171,Bobby Portis,1610612749
22201045,2023-03-16,9,33,2,1626171,Bobby Portis,1610612749
22201068,2023-03-19,9,24,0,1626171,Bobby Portis,1610612749
22201089,2023-03-22,10,25,0,1626171,Bobby Portis,1610612749
22201102,2023-03-24,8,22,4,1626171,Bobby Portis,1610612749
22201109,2023-03-25,6,25,2,1626171,Bobby Portis,1610612749
22201122,2023-03-27,14,31,1,1626171,Bobby Portis,1610612749
22201136,2023-03-29,8,23,4,1626171,Bobby Portis,1610612749
22201146,2023-03-30,10,20,1,1626171,Bobby Portis,1610612749
22201174,2023-04-02,5,28,3,1626171,Bobby Portis,1610612749
22201179,2023-04-04,20,31,1,1626171,Bobby Portis,1610612749
22201193,2023-04-05,13,37,1,1626171,Bobby Portis,1610612749
22201221,2023-04-09,4,18,1,1626171,Bobby Portis,1610612749
22300075,2023-10-26,6,19,3,1626171,Bobby Portis,1610612749
22300097,2023-10-29,4,21,2,1626171,Bobby Portis,1610612749
22300107,2023-10-30,8,19,3,1626171,Bobby Portis,1610612749
22300116,2023-11-01,6,19,1,1626171,Bobby Portis,1610612749
22300002,2023-11-03,2,17,1,1626171,Bobby Portis,1610612749
22300149,2023-11-06,6,26,2,1626171,Bobby Portis,1610612749
22300165,2023-11-08,5,23,1,1626171,Bobby Portis,1610612749
22300171,2023-11-09,8,24,2,1626171,Bobby Portis,1610612749
22300173,2023-11-11,7,28,4,1626171,Bobby Portis,1610612749
22300190,2023-11-13,10,25,3,1626171,Bobby Portis,1610612749
22300195,2023-11-15,7,31,5,1626171,Bobby Portis,1610612749
22300027,2023-11-17,7,30,1,1626171,Bobby Portis,1610612749
22300205,2023-11-18,7,22,0,1626171,Bobby Portis,1610612749
22300219,2023-11-20,8,23,2,1626171,Bobby Portis,1610612749
22300228,2023-11-22,7,21,2,1626171,Bobby Portis,1610612749
22300049,2023-11-24,6,25,3,1626171,Bobby Portis,1610612749
22300245,2023-11-26,8,31,3,1626171,Bobby Portis,1610612749
22300056,2023-11-28,2,23,2,1626171,Bobby Portis,1610612749
22300269,2023-11-30,9,31,3,1626171,Bobby Portis,1610612749
22300286,2023-12-02,11,23,3,1626171,Bobby Portis,1610612749
22301201,2023-12-05,4,24,4,1626171,Bobby Portis,1610612749
22301229,2023-12-07,6,18,2,1626171,Bobby Portis,1610612749
22300300,2023-12-11,7,25,3,1626171,Bobby Portis,1610612749
22300315,2023-12-13,2,23,2,1626171,Bobby Portis,1610612749
22300334,2023-12-16,12,27,3,1626171,Bobby Portis,1610612749
22300346,2023-12-17,6,25,3,1626171,Bobby Portis,1610612749
22300361,2023-12-19,10,26,3,1626171,Bobby Portis,1610612749
22300378,2023-12-21,8,21,1,1626171,Bobby Portis,1610612749
22300388,2023-12-23,11,27,4,1626171,Bobby Portis,1610612749
22300401,2023-12-25,9,31,4,1626171,Bobby Portis,1610612749
22300417,2023-12-27,6,31,1,1626171,Bobby Portis,1610612749
22300433,2023-12-29,5,23,3,1626171,Bobby Portis,1610612749
22300454,2024-01-01,5,18,4,1626171,Bobby Portis,1610612749
22300466,2024-01-03,6,20,1,1626171,Bobby Portis,1610612749
22300477,2024-01-04,4,21,3,1626171,Bobby Portis,1610612749
22300496,2024-01-06,6,17,5,1626171,Bobby Portis,1610612749
22300510,2024-01-08,3,16,4,1626171,Bobby Portis,1610612749
22300528,2024-01-11,12,22,1,1626171,Bobby Portis,1610612749
22300545,2024-01-13,8,21,5,1626171,Bobby Portis,1610612749
22300552,2024-01-14,10,26,1,1626171,Bobby Portis,1610612749
22300572,2024-01-17,6,21,0,1626171,Bobby Portis,1610612749
22300592,2024-01-20,3,17,0,1626171,Bobby Portis,1610612749
22300606,2024-01-22,4,25,3,1626171,Bobby Portis,1610612749
22300624,2024-01-24,6,25,1,1626171,Bobby Portis,1610612749
22300639,2024-01-26,8,22,3,1626171,Bobby Portis,1610612749
22300648,2024-01-27,7,22,6,1626171,Bobby Portis,1610612749
22300667,2024-01-29,12,25,3,1626171,Bobby Portis,1610612749
22300683,2024-01-31,6,22,0,1626171,Bobby Portis,1610612749
22300702,2024-02-03,10,31,3,1626171,Bobby Portis,1610612749
22300711,2024-02-04,7,36,2,1626171,Bobby Portis,1610612749
22300725,2024-02-06,9,31,1,1626171,Bobby Portis,1610612749
22300738,2024-02-08,9,29,3,1626171,Bobby Portis,1610612749
22300745,2024-02-09,7,21,3,1626171,Bobby Portis,1610612749
22300767,2024-02-12,8,25,2,1626171,Bobby Portis,1610612749
22300773,2024-02-13,4,26,2,1626171,Bobby Portis,1610612749
22300790,2024-02-15,7,25,1,1626171,Bobby Portis,1610612749
22300808,2024-02-23,5,22,1,1626171,Bobby Portis,1610612749
22300817,2024-02-25,5,19,2,1626171,Bobby Portis,1610612749
22300840,2024-02-27,8,20,2,1626171,Bobby Portis,1610612749
22300849,2024-02-29,10,28,0,1626171,Bobby Portis,1610612749
22300864,2024-03-01,9,26,1,1626171,Bobby Portis,1610612749
22300880,2024-03-04,16,30,4,1626171,Bobby Portis,1610612749
22300899,2024-03-06,6,24,5,1626171,Bobby Portis,1610612749
22300915,2024-03-08,8,26,2,1626171,Bobby Portis,1610612749
22300924,2024-03-10,8,26,1,1626171,Bobby Portis,1610612749
22300945,2024-03-12,7,21,3,1626171,Bobby Portis,1610612749
22300958,2024-03-14,3,22,0,1626171,Bobby Portis,1610612749
22300976,2024-03-17,10,30,0,1626171,Bobby Portis,1610612749
22300998,2024-03-20,15,33,3,1626171,Bobby Portis,1610612749
22301007,2024-03-21,9,30,3,1626171,Bobby Portis,1610612749
22301030,2024-03-24,6,28,3,1626171,Bobby Portis,1610612749
22301045,2024-03-26,13,30,3,1626171,Bobby Portis,1610612749
22301061,2024-03-28,7,16,5,1626171,Bobby Portis,1610612749
22301076,2024-03-30,4,21,1,1626171,Bobby Portis,1610612749
22301095,2024-04-02,12,25,1,1626171,Bobby Portis,1610612749
22301107,2024-04-03,7,28,2,1626171,Bobby Portis,1610612749
22301122,2024-04-05,10,28,1,1626171,Bobby Portis,1610612749
22301139,2024-04-07,5,29,0,1626171,Bobby Portis,1610612749
22301148,2024-04-09,10,22,1,1626171,Bobby Portis,1610612749
22301162,2024-04-10,9,30,3,1626171,Bobby Portis,1610612749
22301179,2024-04-12,8,21,1,1626171,Bobby Portis,1610612749
22301191,2024-04-14,10,31,5,1626171,Bobby Portis,1610612749
22400066,2024-10-23,3,26,4,1626171,Bobby Portis,1610612749
22400083,2024-10-25,12,28,0,1626171,Bobby Portis,1610612749
22400098,2024-10-27,10,27,0,1626171,Bobby Portis,1610612749
22400104,2024-10-28,6,19,1,1626171,Bobby Portis,1610612749
22400128,2024-10-31,7,25,2,1626171,Bobby Portis,1610612749
22400145,2024-11-02,8,20,2,1626171,Bobby Portis,1610612749
22400154,2024-11-04,18,39,3,1626171,Bobby Portis,1610612749
22400182,2024-11-07,6,27,3,1626171,Bobby Portis,1610612749
22400189,2024-11-08,5,17,2,1626171,Bobby Portis,1610612749
22400202,2024-11-10,7,23,2,1626171,Bobby Portis,1610612749
22400005,2024-11-12,8,18,0,1626171,Bobby Portis,1610612749
22400229,2024-11-16,7,24,1,1626171,Bobby Portis,1610612749
22400248,2024-11-18,4,21,1,1626171,Bobby Portis,1610612749
22400253,2024-11-20,6,22,1,1626171,Bobby Portis,1610612749
22400029,2024-11-22,7,23,2,1626171,Bobby Portis,1610612749
22400268,2024-11-23,7,27,2,1626171,Bobby Portis,1610612749
22400036,2024-11-26,6,18,0,1626171,Bobby Portis,1610612749
22400302,2024-11-30,6,23,0,1626171,Bobby Portis,1610612749
22400052,2024-12-03,4,26,2,1626171,Bobby Portis,1610612749
22400323,2024-12-04,5,18,3,1626171,Bobby Portis,1610612749
22400335,2024-12-06,18,21,2,1626171,Bobby Portis,1610612749
22400348,2024-12-08,5,31,0,1626171,Bobby Portis,1610612749
22401201,2024-12-10,10,32,1,1626171,Bobby Portis,1610612749
22401229,2024-12-14,9,23,2,1626171,Bobby Portis,1610612749
22400374,2024-12-20,3,20,4,1626171,Bobby Portis,1610612749
22400382,2024-12-21,10,32,1,1626171,Bobby Portis,1610612749
22400398,2024-12-23,13,32,3,1626171,Bobby Portis,1610612749
22400415,2024-12-26,8,35,3,1626171,Bobby Portis,1610612749
22400430,2024-12-28,9,34,3,1626171,Bobby Portis,1610612749
22400450,2024-12-31,15,31,0,1626171,Bobby Portis,1610612749
22400465,2025-01-02,8,28,2,1626171,Bobby Portis,1610612749
22400483,2025-01-04,7,26,3,1626171,Bobby Portis,1610612749
22400497,2025-01-06,7,23,2,1626171,Bobby Portis,1610612749
0022400516,2025-01-08,11,19,2,1626171,Bobby Portis,1610612749
0022400526,2025-01-10,7,25,3,1626171,Bobby Portis,1610612749
