,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_TEAM_ABBREVIATION,SEASON,PTS_QTR1,PTS_QTR1_OPP,GAME_DATE,TOTAL_FQP,TEAM_LAST_10,TEAM_WORST_2,LAST_10_OPP,WORST_2_OPP,TEAM_FGA,FGA_OPP,TEAM_PACE,PACE_OPP,TEAM_LAST_10_AGAINST,TEAM_WORST_2_AGAINST,LAST_10_OPP_AGAINST,WORST_2_OPP_AGAINST,TEAM_EFG,EFG_OPP,TEAM_FG,FG_OPP,TEAM_3P_PCT,3P_PCT_OPP,TEAM_FT_PCT,FT_PCT_OPP,TEAM_FTA,FTA_OPP,TEAM_TOV,TOV_OPP,TEAM_OREB,OREB_OPP,TEAM_DREB,DREB_OPP,TEAM_OFF_RATING,OFF_RATING_OPP,TEAM_AST_TOV,AST_TOV_OPP,TEAM_LAST_3,LAST_3_OPP,LAST_3_H2H,LAST_3_PACE_H2H,LAST_3_EFG_H2H,xFQTP,xFQTP_OPP
0,22200001,1610612738,BOS,1610612755,PHI,2022-23,24,29,2022-10-18,53,24.0,24.0,22.0,22.0,21.0,24.0,106.0,106.0,29.0,29.0,25.0,25.0,0.429,0.354,0.381,0.333,0.222,0.364,0.75,0.667,8.0,7.0,4.0,6.0,3.0,2.0,9.0,12.0,92.3,73.3,1.2,0.67,24.0,22.0,55.0,102.4,0.4965833333333332,29.05236620985591,28.70103547359101
1,22200002,1610612747,LAL,1610612744,GSW,2022-23,22,25,2022-10-18,47,22.0,22.0,24.0,24.0,24.0,20.0,120.0,120.0,25.0,25.0,29.0,29.0,0.354,0.45,0.333,0.381,0.1,0.273,0.714,0.786,7.0,8.0,6.0,5.0,2.0,3.0,12.0,8.0,73.3,92.3,0.57,0.4,22.0,24.0,49.333333333333336,108.06666666666666,0.5235333333333333,26.95327165010475,28.02685244102898
2,22200001,1610612755,PHI,1610612738,BOS,2022-23,29,24,2022-10-18,53,29.0,29.0,25.0,25.0,20.0,24.0,106.0,106.0,24.0,24.0,22.0,22.0,0.45,0.354,0.35,0.292,0.364,0.222,0.786,0.714,14.0,12.0,5.0,6.0,3.0,3.0,8.0,12.0,107.4,83.3,0.4,0.57,29.0,25.0,55.0,102.4,0.4965833333333332,27.2533940652236,27.35809956732677
3,22200002,1610612744,GSW,1610612747,LAL,2022-23,25,22,2022-10-18,47,25.0,25.0,29.0,29.0,24.0,21.0,120.0,120.0,22.0,22.0,24.0,24.0,0.354,0.429,0.292,0.35,0.273,0.1,0.667,0.75,12.0,14.0,6.0,4.0,3.0,3.0,12.0,9.0,83.3,107.4,0.67,1.2,25.0,29.0,49.333333333333336,108.06666666666666,0.5235333333333333,29.026648649769715,27.899994612776737
4,22200014,1610612758,SAC,1610612757,POR,2022-23,23,32,2022-10-19,55,23.0,23.0,22.0,22.0,18.0,23.0,100.0,100.0,32.0,32.0,23.0,23.0,0.472,0.632,0.389,0.348,0.3,0.75,0.6,0.667,10.0,9.0,4.0,2.0,0.0,3.0,8.0,9.0,92.0,89.3,1.5,0.5,23.0,20.0,56.0,100.7,0.5578166666666666,23.87173371307359,29.415671719195675
5,22200005,1610612745,HOU,1610612737,ATL,2022-23,20,26,2022-10-19,46,20.0,20.0,25.0,25.0,21.0,25.0,110.0,110.0,26.0,26.0,37.0,37.0,0.405,0.568,0.381,0.44,0.167,0.167,1.0,0.667,3.0,6.0,7.0,2.0,2.0,2.0,10.0,10.0,74.1,92.9,0.57,2.5,20.0,23.0,63.0,102.73333333333332,0.5498000000000001,27.109381307101483,32.402
6,22200012,1610612762,UTA,1610612743,DEN,2022-23,37,30,2022-10-19,67,37.0,37.0,23.0,23.0,26.0,22.0,112.0,112.0,30.0,30.0,25.0,25.0,0.692,0.435,0.577,0.36,0.462,0.4,0.5,0.833,2.0,6.0,6.0,2.0,3.0,2.0,10.0,10.0,132.1,92.0,1.5,4.0,37.0,28.0,55.0,105.1,0.5455,26.29394105714336,28.497349376106303
7,22200007,1610612741,CHI,1610612748,MIA,2022-23,28,33,2022-10-19,61,28.0,28.0,25.0,25.0,22.0,22.0,106.0,110.0,33.0,33.0,22.0,22.0,0.523,0.44,0.455,0.545,0.3,0.0,0.833,0.833,6.0,2.0,4.0,3.0,2.0,3.0,10.0,10.0,107.7,81.5,1.5,2.5,28.0,37.0,48.0,103.0,0.55255,27.89107113148528,28.637868470168275
8,22200006,1610612751,BKN,1610612740,NOP,2022-23,14,32,2022-10-19,46,14.0,14.0,32.0,32.0,20.0,28.0,110.0,100.0,32.0,32.0,32.0,32.0,0.3,0.6,0.3,0.552,0.0,0.3,1.0,0.571,2.0,4.0,9.0,7.0,2.0,0.0,6.0,7.0,50.0,96.0,0.33,8.0,14.0,35.0,51.0,102.73333333333332,0.5273833333333333,26.902449386286023,28.7377624066517
9,22200010,1610612750,MIN,1610612760,OKC,2022-23,35,22,2022-10-19,57,35.0,35.0,32.0,32.0,24.0,25.0,108.0,112.0,22.0,22.0,36.0,36.0,0.604,0.357,0.542,0.5,0.333,0.0,1.0,0.833,6.0,6.0,4.0,2.0,3.0,6.0,11.0,10.0,129.6,100.0,2.5,1.5,35.0,14.0,56.0,108.16666666666669,0.4973166666666666,29.278237316516098,29.079562927886435
