index,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_TEAM_ABBREVIATION,SEASON,PTS_QTR1,PTS_QTR1_OPP,GAME_DATE,TOTAL_FQP,TEAM_LAST_10,TEAM_WORST_2,LAST_10_OPP,WORST_2_OPP,TEAM_FGA,FGA_OPP,TEAM_PACE,PACE_OPP,TEAM_LAST_10_AGAINST,TEAM_WORST_2_AGAINST,LAST_10_OPP_AGAINST,WORST_2_OPP_AGAINST
1854,22200308,1610612747,LAL,1610612754,IND,2022-23,32,29,2022-11-28,61,29.2,21.5,29.1,23.5,22.6,23.8,104.8,96.4,29.3,20.5,29.8,25.5
1859,22200306,1610612762,UTA,1610612741,CHI,2022-23,27,27,2022-11-28,54,27.9,21.5,26.2,22.5,23.4,24.2,104.0,103.2,28.0,22.0,31.3,25.5
1852,22200307,1610612758,SAC,1610612756,PHX,2022-23,26,31,2022-11-28,57,30.1,22.5,27.5,21.0,23.4,22.3,104.8,106.6,31.3,25.5,28.0,22.0
1839,22200311,1610612757,POR,1610612746,LAC,2022-23,30,25,2022-11-29,55,26.0,22.0,33.7,20.5,22.1,22.0,95.8,105.6,28.9,23.5,30.1,25.0
1843,22200309,1610612752,NYK,1610612765,DET,2022-23,40,32,2022-11-29,72,28.9,20.5,28.2,15.0,23.4,22.6,103.4,98.4,30.1,25.0,28.9,23.5
1840,22200310,1610612744,GSW,1610612742,DAL,2022-23,24,36,2022-11-29,60,33.7,20.5,26.0,22.0,22.6,23.4,105.6,95.8,27.4,21.0,27.4,19.5
1841,22200310,1610612742,DAL,1610612744,GSW,2022-23,36,24,2022-11-29,60,29.4,24.0,27.7,22.5,22.0,21.8,98.4,103.4,27.4,19.5,27.4,21.0
1842,22200309,1610612765,DET,1610612752,NYK,2022-23,32,40,2022-11-29,72,27.7,22.5,29.4,24.0,21.8,22.0,99.4,102.0,26.7,17.5,25.9,21.5
1838,22200311,1610612746,LAC,1610612757,POR,2022-23,25,30,2022-11-29,55,28.2,15.0,28.9,20.5,22.0,22.1,102.0,99.4,25.9,21.5,26.7,17.5
1817,22200322,1610612762,UTA,1610612746,LAC,2022-23,35,26,2022-11-30,61,28.0,21.5,26.2,19.5,23.5,21.8,102.6,95.6,28.5,22.5,29.2,22.5
1825,22200312,1610612755,PHI,1610612739,CLE,2022-23,21,25,2022-11-30,46,27.9,21.5,30.2,25.0,21.1,22.6,103.0,101.2,29.2,22.5,28.5,22.5
1815,22200315,1610612764,WAS,1610612751,BKN,2022-23,28,29,2022-11-30,57,31.2,24.5,27.1,21.0,22.1,22.5,103.4,104.8,29.4,23.0,26.8,22.5
1816,22200322,1610612746,LAC,1610612762,UTA,2022-23,26,35,2022-11-30,61,26.9,15.0,30.3,23.0,21.5,21.5,99.6,104.0,26.8,22.5,29.4,23.0
1831,22200314,1610612748,MIA,1610612738,BOS,2022-23,35,38,2022-11-30,73,30.2,25.0,27.9,21.5,23.4,25.0,102.6,101.8,30.4,26.5,28.4,22.5
1828,22200324,1610612757,POR,1610612747,LAL,2022-23,22,24,2022-11-30,46,26.5,22.0,31.1,25.0,22.2,23.1,96.0,106.0,28.4,22.5,30.4,26.5
1837,22200318,1610612761,TOR,1610612740,NOP,2022-23,29,40,2022-11-30,69,26.7,24.0,29.5,23.5,22.9,23.2,100.8,105.2,29.8,23.5,27.8,20.5
1822,22200320,1610612743,DEN,1610612745,HOU,2022-23,44,24,2022-11-30,68,31.1,25.0,26.5,22.0,22.6,21.1,101.2,100.0,27.8,20.5,29.8,23.5
1836,22200318,1610612740,NOP,1610612761,TOR,2022-23,40,29,2022-11-30,69,29.5,23.5,26.7,24.0,22.9,24.2,102.8,101.2,28.3,17.5,28.0,22.5
1833,22200313,1610612753,ORL,1610612737,ATL,2022-23,27,38,2022-11-30,65,28.3,23.5,24.3,15.5,21.8,23.5,101.8,102.6,28.0,22.5,28.3,17.5
1832,22200313,1610612737,ATL,1610612753,ORL,2022-23,38,27,2022-11-30,65,28.8,21.0,28.8,21.5,22.7,21.9,104.8,107.2,29.0,21.5,30.7,20.5
1834,22200317,1610612750,MIN,1610612763,MEM,2022-23,27,26,2022-11-30,53,32.3,26.0,29.6,22.5,23.1,22.2,106.0,96.0,30.7,20.5,29.0,21.5
1813,22200323,1610612754,IND,1610612758,SAC,2022-23,20,33,2022-11-30,53,24.3,15.5,28.3,23.5,22.5,22.1,107.2,104.8,30.0,25.5,26.4,17.5
1824,22200312,1610612739,CLE,1610612755,PHI,2022-23,25,21,2022-11-30,46,27.8,20.0,32.1,22.0,22.4,23.4,95.6,102.6,26.4,17.5,30.0,25.5
1820,22200321,1610612741,CHI,1610612756,PHX,2022-23,25,32,2022-11-30,57,27.1,21.0,31.2,24.5,23.2,22.9,102.6,105.2,28.6,21.5,29.2,20.5
1829,22200324,1610612747,LAL,1610612757,POR,2022-23,24,22,2022-11-30,46,28.8,21.5,28.8,21.0,23.0,24.7,105.2,100.8,29.2,20.5,28.6,21.5
1823,22200320,1610612745,HOU,1610612743,DEN,2022-23,24,44,2022-11-30,68,30.3,23.0,26.9,15.0,21.5,21.5,100.4,102.8,29.9,16.0,31.5,25.5
1812,22200323,1610612758,SAC,1610612754,IND,2022-23,33,20,2022-11-30,53,29.6,22.5,32.3,26.0,23.5,22.7,104.6,103.0,31.5,25.5,29.9,16.0
1830,22200314,1610612738,BOS,1610612748,MIA,2022-23,38,35,2022-11-30,73,33.8,26.5,28.5,22.5,24.0,24.4,105.2,102.6,25.0,18.5,28.9,22.0
1821,22200321,1610612756,PHX,1610612741,CHI,2022-23,32,25,2022-11-30,57,29.4,22.5,30.7,20.5,24.7,23.0,102.8,100.4,28.9,22.0,25.0,18.5
1827,22200316,1610612749,MIL,1610612752,NYK,2022-23,22,20,2022-11-30,42,31.1,24.5,29.2,21.5,22.7,23.5,101.2,103.0,30.0,24.5,28.0,24.0
1835,22200317,1610612763,MEM,1610612750,MIN,2022-23,26,27,2022-11-30,53,32.1,22.0,27.8,20.0,25.0,23.4,103.0,104.6,28.0,24.0,30.0,24.5
