GAME_ID,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_TEAM_ABBREVIATION,SEASON,PTS_QTR1,OPP_PTS_QTR1
22200096,1610612766,CHA,1610612758,SAC,2022-23,24,34
22200097,1610612755,PHI,1610612764,WAS,2022-23,28,30
22200098,1610612754,IND,1610612751,BKN,2022-23,33,18
22200099,1610612737,ATL,1610612761,TOR,2022-23,34,28
22200100,1610612765,DET,1610612749,MIL,2022-23,34,23
22200101,1610612763,MEM,1610612762,UTA,2022-23,23,26
22200102,1610612745,HOU,1610612746,LAC,2022-23,30,23
22200103,1610612751,BKN,1610612741,CHI,2022-23,27,25
22200104,1610612748,MIA,1610612744,GSW,2022-23,24,33
22200105,1610612760,OKC,1610612753,ORL,2022-23,32,33
22200106,1610612750,MIN,1610612756,PHX,2022-23,20,24
22200107,1610612739,CLE,1610612738,BOS,2022-23,35,27
22200108,1610612755,PHI,1610612764,WAS,2022-23,25,31
22200109,1610612758,SAC,1610612748,MIA,2022-23,32,33
22200110,1610612752,NYK,1610612737,ATL,2022-23,21,32
22200111,1610612766,CHA,1610612741,CHI,2022-23,27,26
22200112,1610612746,LAC,1610612745,HOU,2022-23,24,34
22200113,1610612749,MIL,1610612765,DET,2022-23,26,31
22200114,1610612761,TOR,1610612759,SAS,2022-23,31,32
22200115,1610612742,DAL,1610612762,UTA,2022-23,35,23
22200116,1610612757,POR,1610612763,MEM,2022-23,30,23
22200117,1610612740,NOP,1610612747,LAL,2022-23,23,27
22200119,1610612743,DEN,1610612760,OKC,2022-23,42,29
22200120,1610612739,CLE,1610612765,DET,2022-23,21,24
22200121,1610612754,IND,1610612748,MIA,2022-23,29,28
22200122,1610612752,NYK,1610612755,PHI,2022-23,21,22
22200123,1610612751,BKN,1610612764,WAS,2022-23,28,38
22200124,1610612741,CHI,1610612738,BOS,2022-23,31,26
22200125,1610612763,MEM,1610612766,CHA,2022-23,41,24
22200126,1610612759,SAS,1610612746,LAC,2022-23,28,18
22200127,1610612742,DAL,1610612761,TOR,2022-23,31,29
22200128,1610612744,GSW,1610612740,NOP,2022-23,26,27
22200129,1610612750,MIN,1610612749,MIL,2022-23,26,34
22200130,1610612757,POR,1610612756,PHX,2022-23,25,28
22200131,1610612747,LAL,1610612762,UTA,2022-23,40,34
22200132,1610612753,ORL,1610612758,SAC,2022-23,33,25
22200133,1610612766,CHA,1610612751,BKN,2022-23,30,21
22200134,1610612737,ATL,1610612740,NOP,2022-23,29,28
22200135,1610612738,BOS,1610612752,NYK,2022-23,32,29
22200136,1610612760,OKC,1610612749,MIL,2022-23,34,34
22200137,1610612745,HOU,1610612750,MIN,2022-23,40,34
22200138,1610612743,DEN,1610612759,SAS,2022-23,40,27
22200139,1610612756,PHX,1610612757,POR,2022-23,35,26
22200140,1610612739,CLE,1610612747,LAL,2022-23,36,30
22200141,1610612761,TOR,1610612741,CHI,2022-23,30,21
22200142,1610612763,MEM,1610612764,WAS,2022-23,24,25
22200144,1610612766,CHA,1610612764,WAS,2022-23,26,18
22200145,1610612753,ORL,1610612745,HOU,2022-23,30,33
22200146,1610612760,OKC,1610612765,DET,2022-23,28,33
22200147,1610612754,IND,1610612740,NOP,2022-23,32,30
22200148,1610612756,PHX,1610612755,PHI,2022-23,20,33
22200149,1610612749,MIL,1610612737,ATL,2022-23,25,36
22200150,1610612748,MIA,1610612757,POR,2022-23,28,28
22200151,1610612741,CHI,1610612761,TOR,2022-23,30,27
22200152,1610612738,BOS,1610612763,MEM,2022-23,34,28
22200153,1610612752,NYK,1610612750,MIN,2022-23,38,29
22200155,1610612751,BKN,1610612742,DAL,2022-23,29,34
22200156,1610612758,SAC,1610612744,GSW,2022-23,31,29
22200157,1610612762,UTA,1610612747,LAL,2022-23,34,42
22200158,1610612739,CLE,1610612746,LAC,2022-23,37,31
22200159,1610612766,CHA,1610612757,POR,2022-23,25,30
22200160,1610612743,DEN,1610612754,IND,2022-23,35,27
22200161,1610612742,DAL,1610612753,ORL,2022-23,24,28
22200162,1610612737,ATL,1610612762,UTA,2022-23,26,22
22200163,1610612765,DET,1610612738,BOS,2022-23,29,21
22200164,1610612751,BKN,1610612752,NYK,2022-23,22,38
22200165,1610612745,HOU,1610612761,TOR,2022-23,37,29
22200166,1610612740,NOP,1610612741,CHI,2022-23,22,22
22200167,1610612750,MIN,1610612756,PHX,2022-23,25,39
22200169,1610612763,MEM,1610612759,SAS,2022-23,38,32
22200170,1610612746,LAC,1610612747,LAL,2022-23,38,21
22200171,1610612758,SAC,1610612739,CLE,2022-23,29,34
22200172,1610612742,DAL,1610612764,WAS,2022-23,34,28
22200173,1610612737,ATL,1610612755,PHI,2022-23,29,20
22200174,1610612766,CHA,1610612748,MIA,2022-23,32,27
22200175,1610612757,POR,1610612740,NOP,2022-23,27,27
22200176,1610612743,DEN,1610612738,BOS,2022-23,25,33
22200177,1610612753,ORL,1610612756,PHX,2022-23,23,30
22200178,1610612752,NYK,1610612765,DET,2022-23,30,26
22200179,1610612761,TOR,1610612760,OKC,2022-23,24,29
22200180,1610612749,MIL,1610612759,SAS,2022-23,27,31
22200181,1610612750,MIN,1610612763,MEM,2022-23,33,30
22200183,1610612758,SAC,1610612747,LAL,2022-23,23,23
22200184,1610612746,LAC,1610612751,BKN,2022-23,24,19
22200185,1610612764,WAS,1610612762,UTA,2022-23,30,28
22200186,1610612765,DET,1610612738,BOS,2022-23,29,30
22200187,1610612761,TOR,1610612754,IND,2022-23,28,26
22200188,1610612737,ATL,1610612755,PHI,2022-23,24,37
22200189,1610612766,CHA,1610612748,MIA,2022-23,34,33
22200190,1610612742,DAL,1610612757,POR,2022-23,25,35
22200191,1610612745,HOU,1610612740,NOP,2022-23,34,26
22200192,1610612752,NYK,1610612760,OKC,2022-23,36,48
22200193,1610612750,MIN,1610612739,CLE,2022-23,20,40
22200194,1610612764,WAS,1610612763,MEM,2022-23,19,23
22200195,1610612755,PHI,1610612762,UTA,2022-23,30,26
22200196,1610612743,DEN,1610612741,CHI,2022-23,20,32
22200197,1610612744,GSW,1610612758,SAC,2022-23,26,39
22200198,1610612751,BKN,1610612747,LAL,2022-23,22,26
22200199,1610612765,DET,1610612761,TOR,2022-23,23,27
22200200,1610612753,ORL,1610612766,CHA,2022-23,31,23
22200201,1610612738,BOS,1610612760,OKC,2022-23,32,35
22200202,1610612756,PHX,1610612748,MIA,2022-23,31,35
22200203,1610612746,LAC,1610612745,HOU,2022-23,23,31
22200204,1610612737,ATL,1610612749,MIL,2022-23,24,29
22200205,1610612759,SAS,1610612744,GSW,2022-23,33,26
22200206,1610612740,NOP,1610612763,MEM,2022-23,32,35
22200207,1610612746,LAC,1610612742,DAL,2022-23,15,30
22200208,1610612752,NYK,1610612762,UTA,2022-23,27,23
22200209,1610612759,SAS,1610612757,POR,2022-23,30,29
22200210,1610612758,SAC,1610612751,BKN,2022-23,30,36
22200212,1610612750,MIN,1610612753,ORL,2022-23,24,42
22200213,1610612760,OKC,1610612764,WAS,2022-23,37,29
22200214,1610612737,ATL,1610612738,BOS,2022-23,18,30
22200215,1610612748,MIA,1610612761,TOR,2022-23,27,31
22200216,1610612749,MIL,1610612739,CLE,2022-23,34,37
22200217,1610612740,NOP,1610612741,CHI,2022-23,28,32
22200218,1610612742,DAL,1610612745,HOU,2022-23,31,28
22200219,1610612743,DEN,1610612752,NYK,2022-23,27,30
22200220,1610612756,PHX,1610612744,GSW,2022-23,36,33
22200221,1610612757,POR,1610612751,BKN,2022-23,28,28
22200222,1610612758,SAC,1610612759,SAS,2022-23,37,28
22200223,1610612746,LAC,1610612765,DET,2022-23,23,15
22200224,1610612748,MIA,1610612764,WAS,2022-23,31,33
22200225,1610612739,CLE,1610612766,CHA,2022-23,14,28
22200226,1610612755,PHI,1610612749,MIL,2022-23,34,24
22200227,1610612753,ORL,1610612741,CHI,2022-23,24,37
22200228,1610612745,HOU,1610612754,IND,2022-23,10,25
22200229,1610612763,MEM,1610612760,OKC,2022-23,28,33
22200230,1610612742,DAL,1610612743,DEN,2022-23,27,29
22200231,1610612738,BOS,1610612740,NOP,2022-23,25,40
22200232,1610612756,PHX,1610612762,UTA,2022-23,35,42
22200233,1610612744,GSW,1610612752,NYK,2022-23,19,35
22200234,1610612765,DET,1610612747,LAL,2022-23,30,37
22200235,1610612761,TOR,1610612737,ATL,2022-23,31,29
22200236,1610612754,IND,1610612753,ORL,2022-23,28,22
22200237,1610612755,PHI,1610612750,MIN,2022-23,23,33
22200238,1610612757,POR,1610612762,UTA,2022-23,20,23
22200239,1610612746,LAC,1610612759,SAS,2022-23,40,22
22200240,1610612756,PHX,1610612752,NYK,2022-23,22,28
22200241,1610612766,CHA,1610612764,WAS,2022-23,27,35
22200242,1610612758,SAC,1610612765,DET,2022-23,38,33
22200243,1610612763,MEM,1610612751,BKN,2022-23,28,29
22200244,1610612739,CLE,1610612748,MIA,2022-23,28,27
22200245,1610612744,GSW,1610612745,HOU,2022-23,28,40
22200247,1610612747,LAL,1610612759,SAS,2022-23,34,20
22200248,1610612737,ATL,1610612739,CLE,2022-23,26,38
22200249,1610612753,ORL,1610612754,IND,2022-23,27,28
22200250,1610612738,BOS,1610612741,CHI,2022-23,28,23
22200251,1610612749,MIL,1610612757,POR,2022-23,30,32
22200252,1610612750,MIN,1610612748,MIA,2022-23,30,33
22200253,1610612744,GSW,1610612740,NOP,2022-23,16,35
22200254,1610612760,OKC,1610612752,NYK,2022-23,38,34
22200255,1610612746,LAC,1610612762,UTA,2022-23,34,24
22200256,1610612755,PHI,1610612751,BKN,2022-23,26,33
22200257,1610612758,SAC,1610612763,MEM,2022-23,28,31
22200258,1610612743,DEN,1610612765,DET,2022-23,28,29
22200259,1610612747,LAL,1610612756,PHX,2022-23,26,22
22200260,1610612755,PHI,1610612766,CHA,2022-23,21,33
22200261,1610612739,CLE,1610612757,POR,2022-23,21,28
22200262,1610612750,MIN,1610612754,IND,2022-23,21,29
22200263,1610612737,ATL,1610612758,SAC,2022-23,26,35
22200264,1610612738,BOS,1610612742,DAL,2022-23,34,23
22200265,1610612748,MIA,1610612764,WAS,2022-23,28,26
22200266,1610612751,BKN,1610612761,TOR,2022-23,38,26
22200267,1610612749,MIL,1610612741,CHI,2022-23,33,32
22200268,1610612760,OKC,1610612743,DEN,2022-23,21,38
22200269,1610612759,SAS,1610612740,NOP,2022-23,29,19
22200270,1610612762,UTA,1610612765,DET,2022-23,25,30
22200271,1610612746,LAC,1610612744,GSW,2022-23,32,29
22200272,1610612766,CHA,1610612750,MIN,2022-23,29,34
22200273,1610612755,PHI,1610612753,ORL,2022-23,29,24
22200274,1610612752,NYK,1610612757,POR,2022-23,25,31
22200275,1610612758,SAC,1610612738,BOS,2022-23,22,36
22200276,1610612751,BKN,1610612754,IND,2022-23,35,23
22200277,1610612764,WAS,1610612748,MIA,2022-23,38,28
22200278,1610612737,ATL,1610612745,HOU,2022-23,38,33
22200279,1610612740,NOP,1610612763,MEM,2022-23,25,44
22200280,1610612749,MIL,1610612739,CLE,2022-23,25,30
22200281,1610612741,CHI,1610612760,OKC,2022-23,30,32
22200282,1610612747,LAL,1610612759,SAS,2022-23,33,21
22200283,1610612765,DET,1610612756,PHX,2022-23,22,23
22200284,1610612744,GSW,1610612762,UTA,2022-23,37,23
22200285,1610612746,LAC,1610612743,DEN,2022-23,26,31
22200286,1610612761,TOR,1610612742,DAL,2022-23,24,29
22200287,1610612745,HOU,1610612760,OKC,2022-23,23,22
22200288,1610612759,SAS,1610612747,LAL,2022-23,34,33
22200289,1610612762,UTA,1610612756,PHX,2022-23,32,22
22200290,1610612757,POR,1610612751,BKN,2022-23,24,31
22200291,1610612744,GSW,1610612750,MIN,2022-23,47,27
22200292,1610612746,LAC,1610612754,IND,2022-23,35,29
22200293,1610612737,ATL,1610612748,MIA,2022-23,23,31
22200294,1610612738,BOS,1610612764,WAS,2022-23,35,26
22200295,1610612765,DET,1610612739,CLE,2022-23,26,20
22200296,1610612763,MEM,1610612752,NYK,2022-23,26,25
22200297,1610612753,ORL,1610612755,PHI,2022-23,36,32
22200298,1610612749,MIL,1610612742,DAL,2022-23,41,33
22200299,1610612755,PHI,1610612737,ATL,2022-23,23,34
22200300,1610612764,WAS,1610612750,MIN,2022-23,38,33
22200301,1610612766,CHA,1610612738,BOS,2022-23,19,45
22200302,1610612753,ORL,1610612751,BKN,2022-23,23,28
22200303,1610612739,CLE,1610612761,TOR,2022-23,24,26
22200304,1610612760,OKC,1610612740,NOP,2022-23,26,34
22200305,1610612745,HOU,1610612743,DEN,2022-23,42,39
22200306,1610612741,CHI,1610612762,UTA,2022-23,27,27
22200307,1610612756,PHX,1610612758,SAC,2022-23,31,26
22200308,1610612747,LAL,1610612754,IND,2022-23,32,29
22200309,1610612752,NYK,1610612765,DET,2022-23,40,32
22200310,1610612744,GSW,1610612742,DAL,2022-23,36,24
22200311,1610612746,LAC,1610612757,POR,2022-23,30,25
22200312,1610612755,PHI,1610612739,CLE,2022-23,21,25
22200313,1610612753,ORL,1610612737,ATL,2022-23,27,38
22200314,1610612738,BOS,1610612748,MIA,2022-23,38,35
22200315,1610612751,BKN,1610612764,WAS,2022-23,28,29
22200316,1610612749,MIL,1610612752,NYK,2022-23,20,22
22200317,1610612750,MIN,1610612763,MEM,2022-23,27,26
22200318,1610612740,NOP,1610612761,TOR,2022-23,40,29
22200319,1610612759,SAS,1610612760,OKC,2022-23,32,35
22200320,1610612745,HOU,1610612743,DEN,2022-23,44,24
22200321,1610612741,CHI,1610612756,PHX,2022-23,25,32
22200322,1610612762,UTA,1610612746,LAC,2022-23,35,26
22200323,1610612758,SAC,1610612754,IND,2022-23,20,33
22200324,1610612757,POR,1610612747,LAL,2022-23,24,22
22200326,1610612764,WAS,1610612766,CHA,2022-23,31,36
22200327,1610612737,ATL,1610612743,DEN,2022-23,25,28
22200328,1610612748,MIA,1610612738,BOS,2022-23,27,27
22200329,1610612761,TOR,1610612751,BKN,2022-23,17,41
22200330,1610612753,ORL,1610612739,CLE,2022-23,25,27
22200331,1610612747,LAL,1610612749,MIL,2022-23,33,31
22200332,1610612763,MEM,1610612755,PHI,2022-23,30,29
22200333,1610612759,SAS,1610612740,NOP,2022-23,24,26
22200334,1610612745,HOU,1610612756,PHX,2022-23,27,36
22200335,1610612754,IND,1610612762,UTA,2022-23,35,24
22200336,1610612741,CHI,1610612744,GSW,2022-23,35,33
22200337,1610612752,NYK,1610612742,DAL,2022-23,32,20
22200338,1610612746,LAC,1610612758,SAC,2022-23,24,38
22200339,1610612749,MIL,1610612766,CHA,2022-23,30,24
22200340,1610612753,ORL,1610612761,TOR,2022-23,22,36
22200341,1610612760,OKC,1610612750,MIN,2022-23,29,32
22200342,1610612745,HOU,1610612744,GSW,2022-23,23,39
22200343,1610612757,POR,1610612762,UTA,2022-23,31,40
22200344,1610612740,NOP,1610612743,DEN,2022-23,27,31
22200345,1610612756,PHX,1610612759,SAS,2022-23,30,35
22200346,1610612751,BKN,1610612738,BOS,2022-23,27,35
22200347,1610612763,MEM,1610612765,DET,2022-23,26,40
22200348,1610612752,NYK,1610612739,CLE,2022-23,16,23
22200349,1610612764,WAS,1610612747,LAL,2022-23,27,33
22200350,1610612758,SAC,1610612741,CHI,2022-23,29,27
22200351,1610612757,POR,1610612754,IND,2022-23,28,24
22200352,1610612746,LAC,1610612766,CHA,2022-23,28,26
22200353,1610612753,ORL,1610612749,MIL,2022-23,21,30
22200354,1610612737,ATL,1610612760,OKC,2022-23,29,27
22200355,1610612761,TOR,1610612738,BOS,2022-23,25,27
22200356,1610612755,PHI,1610612745,HOU,2022-23,27,30
22200357,1610612748,MIA,1610612763,MEM,2022-23,32,27
22200358,1610612756,PHX,1610612742,DAL,2022-23,15,33
22200359,1610612754,IND,1610612744,GSW,2022-23,34,21
22200360,1610612747,LAL,1610612739,CLE,2022-23,26,27
22200361,1610612748,MIA,1610612765,DET,2022-23,25,20
22200362,1610612742,DAL,1610612743,DEN,2022-23,29,36
22200363,1610612746,LAC,1610612753,ORL,2022-23,32,14
22200364,1610612766,CHA,1610612751,BKN,2022-23,38,28
22200365,1610612752,NYK,1610612737,ATL,2022-23,20,31
22200366,1610612747,LAL,1610612761,TOR,2022-23,39,31
22200367,1610612764,WAS,1610612741,CHI,2022-23,29,22
22200368,1610612763,MEM,1610612760,OKC,2022-23,25,27
22200369,1610612749,MIL,1610612758,SAC,2022-23,34,29
22200370,1610612750,MIN,1610612754,IND,2022-23,35,17
22200371,1610612765,DET,1610612740,NOP,2022-23,28,27
22200372,1610612762,UTA,1610612744,GSW,2022-23,30,35
22200373,1610612738,BOS,1610612756,PHX,2022-23,31,21
22200374,1610612746,LAC,1610612748,MIA,2022-23,20,28
22200375,1610612759,SAS,1610612745,HOU,2022-23,29,24
22200376,1610612757,POR,1610612743,DEN,2022-23,30,36
22200377,1610612766,CHA,1610612752,NYK,2022-23,22,20
22200378,1610612764,WAS,1610612754,IND,2022-23,33,31
22200379,1610612753,ORL,1610612761,TOR,2022-23,25,37
22200380,1610612751,BKN,1610612737,ATL,2022-23,30,36
22200381,1610612739,CLE,1610612758,SAC,2022-23,31,20
22200382,1610612755,PHI,1610612747,LAL,2022-23,20,31
22200383,1610612765,DET,1610612763,MEM,2022-23,34,27
22200384,1610612740,NOP,1610612756,PHX,2022-23,27,26
22200385,1610612750,MIN,1610612762,UTA,2022-23,28,24
22200386,1610612749,MIL,1610612742,DAL,2022-23,32,33
22200387,1610612759,SAS,1610612748,MIA,2022-23,25,29
22200388,1610612754,IND,1610612751,BKN,2022-23,40,38
22200389,1610612746,LAC,1610612764,WAS,2022-23,29,28
22200390,1610612739,CLE,1610612760,OKC,2022-23,22,28
22200391,1610612741,CHI,1610612742,DAL,2022-23,40,30
22200392,1610612744,GSW,1610612738,BOS,2022-23,25,33
22200393,1610612762,UTA,1610612743,DEN,2022-23,28,26
22200394,1610612757,POR,1610612750,MIN,2022-23,32,27
22200395,1610612756,PHX,1610612740,NOP,2022-23,36,29
22200396,1610612747,LAL,1610612765,DET,2022-23,26,32
22200397,1610612758,SAC,1610612752,NYK,2022-23,36,22
22200398,1610612761,TOR,1610612753,ORL,2022-23,18,19
22200399,1610612755,PHI,1610612766,CHA,2022-23,21,20
22200400,1610612741,CHI,1610612737,ATL,2022-23,22,27
22200401,1610612745,HOU,1610612749,MIL,2022-23,25,19
22200402,1610612748,MIA,1610612754,IND,2022-23,26,19
22200403,1610612751,BKN,1610612764,WAS,2022-23,29,25
22200404,1610612737,ATL,1610612763,MEM,2022-23,29,35
22200405,1610612742,DAL,1610612760,OKC,2022-23,23,28
22200406,1610612759,SAS,1610612739,CLE,2022-23,29,27
22200407,1610612757,POR,1610612750,MIN,2022-23,27,33
22200408,1610612746,LAC,1610612738,BOS,2022-23,25,29
22200409,1610612755,PHI,1610612758,SAC,2022-23,39,32
22200410,1610612744,GSW,1610612749,MIL,2022-23,27,38
22200411,1610612745,HOU,1610612756,PHX,2022-23,20,27
22200412,1610612740,NOP,1610612762,UTA,2022-23,29,30
22200413,1610612747,LAL,1610612738,BOS,2022-23,37,24
22200414,1610612765,DET,1610612766,CHA,2022-23,35,33
22200415,1610612754,IND,1610612744,GSW,2022-23,26,27
22200416,1610612737,ATL,1610612753,ORL,2022-23,22,50
22200417,1610612761,TOR,1610612758,SAC,2022-23,31,23
22200418,1610612741,CHI,1610612752,NYK,2022-23,29,28
22200420,1610612759,SAS,1610612757,POR,2022-23,28,39
22200421,1610612742,DAL,1610612739,CLE,2022-23,19,26
22200422,1610612764,WAS,1610612743,DEN,2022-23,31,38
22200423,1610612746,LAC,1610612750,MIN,2022-23,21,19
22200424,1610612745,HOU,1610612748,MIA,2022-23,29,29
22200425,1610612763,MEM,1610612749,MIL,2022-23,33,18
22200426,1610612762,UTA,1610612740,NOP,2022-23,27,25
22200427,1610612746,LAC,1610612756,PHX,2022-23,29,18
22200428,1610612737,ATL,1610612766,CHA,2022-23,38,24
22200429,1610612765,DET,1610612758,SAC,2022-23,29,28
22200430,1610612753,ORL,1610612738,BOS,2022-23,32,28
22200431,1610612754,IND,1610612739,CLE,2022-23,31,29
22200432,1610612755,PHI,1610612744,GSW,2022-23,33,38
22200433,1610612751,BKN,1610612761,TOR,2022-23,29,19
22200434,1610612741,CHI,1610612752,NYK,2022-23,29,32
22200435,1610612760,OKC,1610612750,MIN,2022-23,28,30
22200436,1610612742,DAL,1610612757,POR,2022-23,31,32
22200437,1610612743,DEN,1610612747,LAL,2022-23,33,32
22200438,1610612746,LAC,1610612764,WAS,2022-23,28,20
22200439,1610612759,SAS,1610612748,MIA,2022-23,28,25
22200440,1610612742,DAL,1610612739,CLE,2022-23,29,27
22200441,1610612745,HOU,1610612757,POR,2022-23,27,33
22200442,1610612762,UTA,1610612749,MIL,2022-23,22,27
22200443,1610612763,MEM,1610612760,OKC,2022-23,25,21
22200444,1610612756,PHX,1610612740,NOP,2022-23,27,34
22200445,1610612753,ORL,1610612738,BOS,2022-23,23,26
22200446,1610612752,NYK,1610612754,IND,2022-23,29,28
22200447,1610612765,DET,1610612751,BKN,2022-23,35,21
22200448,1610612761,TOR,1610612744,GSW,2022-23,36,26
22200449,1610612750,MIN,1610612741,CHI,2022-23,32,34
22200450,1610612743,DEN,1610612766,CHA,2022-23,25,20
22200451,1610612747,LAL,1610612764,WAS,2022-23,30,29
22200452,1610612739,CLE,1610612762,UTA,2022-23,21,29
22200453,1610612755,PHI,1610612761,TOR,2022-23,23,22
22200454,1610612753,ORL,1610612737,ATL,2022-23,27,34
