index,GAME_ID,TEAM_ID,OPPONENT_TEAM_ID,EFG_PCT,EFG_PCT_OPP,PACE,PACE_OPP,AST_TOV,AST_TOV_OPP,DEF_RATING,DEF_RATING_OPP,OFF_RATING,OFF_RATING_OPP
4607,0022300025,1610612744,1610612750,0.558,0.5,102.0,102.0,2.0,0.8,84.6,120.0,120.0,84.6
4606,0022300025,1610612750,1610612744,0.5,0.558,102.0,102.0,0.8,2.0,120.0,84.6,84.6,120.0
4620,0022300026,1610612763,1610612747,0.481,0.607,100.0,100.0,4.0,9.0,148.0,104.0,104.0,148.0
4621,0022300026,1610612747,1610612763,0.607,0.481,100.0,100.0,9.0,4.0,104.0,148.0,148.0,104.0
4573,0022300027,1610612766,1610612749,0.64,0.563,106.0,106.0,3.0,1.25,103.7,142.3,142.3,103.7
4572,0022300027,1610612749,1610612766,0.563,0.64,106.0,106.0,1.25,3.0,142.3,103.7,103.7,142.3
4574,0022300028,1610612764,1610612752,0.524,0.586,98.0,98.0,0.8,3.5,140.0,104.2,104.2,140.0
4575,0022300028,1610612752,1610612764,0.586,0.524,98.0,98.0,3.5,0.8,104.2,140.0,140.0,104.2
4584,0022300029,1610612755,1610612737,0.605,0.476,86.0,86.0,2.33,1.0,109.1,142.9,142.9,109.1
4585,0022300029,1610612737,1610612755,0.476,0.605,86.0,86.0,1.0,2.33,142.9,109.1,109.1,142.9
4579,0022300030,1610612739,1610612765,0.8,0.5,96.0,96.0,2.33,1.4,108.3,145.8,145.8,108.3
4578,0022300030,1610612765,1610612739,0.5,0.8,96.0,96.0,1.4,2.33,145.8,108.3,108.3,145.8
4567,0022300031,1610612738,1610612761,0.462,0.62,92.0,92.0,4.0,9.0,139.1,113.0,113.0,139.1
4566,0022300031,1610612761,1610612738,0.62,0.462,92.0,92.0,9.0,4.0,113.0,139.1,139.1,113.0
4582,0022300032,1610612759,1610612758,0.517,0.58,106.0,106.0,10.0,8.0,111.5,114.8,114.8,111.5
4583,0022300032,1610612758,1610612759,0.58,0.517,106.0,106.0,8.0,10.0,114.8,111.5,111.5,114.8
4569,0022300033,1610612741,1610612753,0.395,0.524,82.0,82.0,1.0,1.5,115.0,76.2,76.2,115.0
4568,0022300033,1610612753,1610612741,0.524,0.395,82.0,82.0,1.5,1.0,76.2,115.0,115.0,76.2
4581,0022300034,1610612743,1610612740,0.667,0.696,100.0,100.0,1.83,12.0,144.0,112.0,112.0,144.0
4580,0022300034,1610612740,1610612743,0.696,0.667,100.0,100.0,12.0,1.83,112.0,144.0,144.0,112.0
4570,0022300035,1610612762,1610612756,0.75,0.761,102.0,102.0,10.0,5.5,157.7,152.0,152.0,157.7
4571,0022300035,1610612756,1610612762,0.761,0.75,102.0,102.0,5.5,10.0,152.0,157.7,157.7,152.0
4576,0022300036,1610612757,1610612747,0.442,0.595,98.0,98.0,1.25,1.67,120.0,95.8,95.8,120.0
4577,0022300036,1610612747,1610612757,0.595,0.442,98.0,98.0,1.67,1.25,95.8,120.0,120.0,95.8
4565,0022300037,1610612745,1610612746,0.413,0.667,100.0,100.0,3.0,0.6,116.0,92.0,92.0,116.0
4564,0022300037,1610612746,1610612745,0.667,0.413,100.0,100.0,0.6,3.0,92.0,116.0,116.0,92.0
4513,0022300038,1610612753,1610612761,0.538,0.524,104.0,104.0,4.5,1.25,88.5,115.4,115.4,88.5
4512,0022300038,1610612761,1610612753,0.524,0.538,104.0,104.0,1.25,4.5,115.4,88.5,88.5,115.4
4511,0022300039,1610612737,1610612754,0.696,0.577,110.0,110.0,2.5,2.75,121.4,148.1,148.1,121.4
4510,0022300039,1610612754,1610612737,0.577,0.696,110.0,110.0,2.75,2.5,148.1,121.4,121.4,148.1
4517,0022300040,1610612739,1610612755,0.482,0.4,104.0,104.0,2.33,1.0,92.3,103.8,103.8,92.3
4516,0022300040,1610612755,1610612739,0.4,0.482,104.0,104.0,1.0,2.33,103.8,92.3,92.3,103.8
4515,0022300041,1610612756,1610612757,0.833,0.4,90.0,90.0,1.4,1.25,91.3,154.5,154.5,91.3
4514,0022300041,1610612757,1610612756,0.4,0.833,90.0,90.0,1.25,1.4,154.5,91.3,91.3,154.5
4508,0022300042,1610612762,1610612747,0.296,0.5,108.0,108.0,1.5,4.0,118.5,63.0,63.0,118.5
4509,0022300042,1610612747,1610612762,0.5,0.296,108.0,108.0,4.0,1.5,63.0,118.5,118.5,63.0
4471,0022300043,1610612738,1610612753,0.632,0.452,104.0,104.0,1.0,0.5,73.1,115.4,115.4,73.1
4470,0022300043,1610612753,1610612738,0.452,0.632,104.0,104.0,0.5,1.0,115.4,73.1,73.1,115.4
4477,0022300044,1610612763,1610612756,0.568,0.571,100.0,100.0,2.33,2.0,116.0,108.0,108.0,116.0
4476,0022300044,1610612756,1610612763,0.571,0.568,100.0,100.0,2.0,2.33,108.0,116.0,116.0,108.0
4478,0022300045,1610612752,1610612748,0.639,0.639,94.0,94.0,1.33,2.0,116.7,108.7,108.7,116.7
4479,0022300045,1610612748,1610612752,0.639,0.639,94.0,94.0,2.0,1.33,108.7,116.7,116.7,108.7
4464,0022300046,1610612761,1610612741,0.783,0.5,98.0,98.0,3.5,1.33,88.0,150.0,150.0,88.0
4465,0022300046,1610612741,1610612761,0.5,0.783,98.0,98.0,1.33,3.5,150.0,88.0,88.0,150.0
4461,0022300047,1610612765,1610612754,0.407,0.523,100.0,100.0,3.5,2.0,132.0,104.0,104.0,132.0
4460,0022300047,1610612754,1610612765,0.523,0.407,100.0,100.0,2.0,3.5,104.0,132.0,132.0,104.0
4474,0022300048,1610612745,1610612743,0.643,0.231,92.0,92.0,9.0,0.33,82.6,126.1,126.1,82.6
4475,0022300048,1610612743,1610612745,0.231,0.643,92.0,92.0,0.33,9.0,126.1,82.6,82.6,126.1
4473,0022300049,1610612749,1610612764,0.659,0.604,100.0,100.0,2.67,6.0,140.0,136.0,136.0,140.0
4472,0022300049,1610612764,1610612749,0.604,0.659,100.0,100.0,6.0,2.67,136.0,140.0,140.0,136.0
