index,GAME_ID,PTS_QTR1,OPP_PTS_QTR1
2195,0022200134,29,28
2194,0022200134,28,29
2191,0022200135,29,32
2190,0022200135,32,29
2184,0022200136,34,34
2197,0022200137,34,40
2196,0022200137,40,34
2186,0022200138,40,27
2187,0022200138,27,40
2192,0022200139,35,26
2193,0022200139,26,35
2179,0022200140,30,36
2178,0022200140,36,30
2176,0022200141,30,21
2177,0022200141,21,30
2181,0022200142,24,25
2180,0022200142,25,24
2174,0022200143,29,29
2170,0022200144,26,18
2171,0022200144,18,26
2144,0022200145,30,33
2145,0022200145,33,30
2154,0022200146,33,28
2155,0022200146,28,33
2161,0022200147,32,30
2160,0022200147,30,32
2163,0022200148,33,20
2162,0022200148,20,33
2151,0022200149,36,25
2150,0022200149,25,36
2156,0022200150,28,28
2168,0022200151,27,30
2169,0022200151,30,27
2167,0022200152,34,28
2166,0022200152,28,34
2159,0022200153,29,38
2158,0022200153,38,29
2152,0022200154,28,28
2165,0022200155,34,29
2164,0022200155,29,34
2148,0022200156,29,31
2149,0022200156,31,29
2172,0022200157,42,34
2173,0022200157,34,42
2147,0022200158,31,37
2146,0022200158,37,31
2120,0022200159,25,30
2121,0022200159,30,25
2126,0022200160,35,27
2127,0022200160,27,35
2133,0022200161,24,28
2132,0022200161,28,24
2135,0022200162,26,22
2134,0022200162,22,26
2143,0022200163,21,29
2142,0022200163,29,21
2125,0022200164,22,38
2124,0022200164,38,22
2119,0022200165,37,29
2118,0022200165,29,37
2138,0022200166,22,22
2130,0022200167,39,25
2131,0022200167,25,39
2140,0022200168,27,27
2129,0022200169,32,38
2128,0022200169,38,32
2136,0022200170,21,38
2137,0022200170,38,21
2123,0022200171,29,34
2122,0022200171,34,29
2112,0022200172,28,34
2113,0022200172,34,28
2110,0022200173,20,29
2111,0022200173,29,20
2117,0022200174,32,27
2116,0022200174,27,32
2114,0022200175,27,27
2094,0022200176,33,25
2095,0022200176,25,33
2100,0022200177,30,23
2101,0022200177,23,30
2098,0022200178,26,30
2099,0022200178,30,26
2102,0022200179,29,24
2103,0022200179,24,29
2106,0022200180,31,27
2107,0022200180,27,31
2097,0022200181,33,30
2096,0022200181,30,33
2104,0022200182,25,25
2108,0022200183,23,23
2093,0022200184,19,24
2092,0022200184,24,19
2084,0022200185,28,30
2085,0022200185,30,28
2090,0022200186,29,30
2091,0022200186,30,29
2089,0022200187,28,26
2088,0022200187,26,28
2079,0022200188,24,37
2078,0022200188,37,24
2080,0022200189,33,34
2081,0022200189,34,33
2087,0022200190,25,35
2086,0022200190,35,25
2083,0022200191,26,34
2082,0022200191,34,26
2075,0022200192,48,36
2074,0022200192,36,48
2066,0022200193,40,20
2067,0022200193,20,40
2071,0022200194,19,23
2070,0022200194,23,19
2068,0022200195,26,30
2069,0022200195,30,26
2073,0022200196,32,20
2072,0022200196,20,32
2064,0022200197,26,39
2065,0022200197,39,26
2076,0022200198,26,22
2077,0022200198,22,26
2055,0022200199,27,23
2054,0022200199,23,27
2050,0022200200,31,23
2051,0022200200,23,31
2063,0022200201,35,32
2062,0022200201,32,35
2056,0022200202,31,35
2057,0022200202,35,31
2053,0022200203,23,31
2052,0022200203,31,23
2060,0022200204,29,24
2061,0022200204,24,29
2058,0022200205,26,33
2059,0022200205,33,26
2045,0022200206,35,32
2044,0022200206,32,35
2049,0022200207,30,15
2048,0022200207,15,30
2047,0022200208,27,23
2046,0022200208,23,27
2041,0022200209,30,29
2040,0022200209,29,30
2042,0022200210,36,30
2043,0022200210,30,36
2032,0022200211,27,27
2024,0022200212,24,42
2025,0022200212,42,24
2022,0022200213,29,37
2023,0022200213,37,29
2028,0022200214,18,30
2029,0022200214,30,18
2035,0022200215,31,27
2034,0022200215,27,31
2037,0022200216,34,37
2036,0022200216,37,34
2038,0022200217,28,32
2039,0022200217,32,28
2020,0022200218,28,31
2021,0022200218,31,28
2031,0022200219,27,30
2030,0022200219,30,27
2027,0022200220,36,33
2026,0022200220,33,36
2014,0022200221,28,28
2017,0022200222,37,28
2016,0022200222,28,37
2019,0022200223,23,15
2018,0022200223,15,23
2009,0022200224,31,33
2008,0022200224,33,31
2003,0022200225,28,14
2002,0022200225,14,28
1998,0022200226,34,24
1999,0022200226,24,34
2012,0022200227,37,24
2013,0022200227,24,37
1994,0022200228,10,25
1995,0022200228,25,10
1992,0022200229,28,33
1993,0022200229,33,28
2001,0022200230,27,29
2000,0022200230,29,27
1996,0022200231,40,25
1997,0022200231,25,40
2006,0022200232,42,35
2007,0022200232,35,42
2005,0022200233,19,35
2004,0022200233,35,19
2010,0022200234,37,30
2011,0022200234,30,37
1986,0022200235,29,31
1987,0022200235,31,29
1989,0022200236,28,22
1988,0022200236,22,28
1984,0022200237,23,33
1985,0022200237,33,23
1990,0022200238,23,20
1991,0022200238,20,23
1982,0022200239,40,22
1983,0022200239,22,40
1966,0022200240,22,28
1967,0022200240,28,22
1980,0022200241,27,35
1981,0022200241,35,27
1973,0022200242,38,33
1972,0022200242,33,38
1969,0022200243,28,29
1968,0022200243,29,28
1975,0022200244,27,28
1974,0022200244,28,27
1971,0022200245,28,40
1970,0022200245,40,28
1976,0022200246,25,25
1979,0022200247,34,20
1978,0022200247,20,34
1957,0022200248,38,26
1956,0022200248,26,38
1959,0022200249,27,28
1958,0022200249,28,27
1955,0022200250,23,28
1954,0022200250,28,23
1964,0022200251,32,30
1965,0022200251,30,32
1963,0022200252,30,33
1962,0022200252,33,30
1951,0022200253,16,35
1950,0022200253,35,16
1953,0022200254,38,34
1952,0022200254,34,38
1961,0022200255,24,34
1960,0022200255,34,24
1948,0022200256,26,33
1949,0022200256,33,26
1945,0022200257,28,31
1944,0022200257,31,28
1943,0022200258,29,28
1942,0022200258,28,29
1947,0022200259,22,26
1946,0022200259,26,22
1918,0022200260,33,21
1919,0022200260,21,33
1920,0022200261,28,21
1921,0022200261,21,28
1922,0022200262,21,29
1923,0022200262,29,21
1935,0022200263,35,26
1934,0022200263,26,35
1941,0022200264,23,34
1940,0022200264,34,23
1932,0022200265,26,28
1933,0022200265,28,26
1927,0022200266,38,26
1926,0022200266,26,38
1925,0022200267,33,32
1924,0022200267,32,33
1938,0022200268,21,38
1939,0022200268,38,21
1929,0022200269,29,19
1928,0022200269,19,29
1936,0022200270,25,30
1937,0022200270,30,25
1931,0022200271,29,32
1930,0022200271,32,29
1892,0022200272,29,34
1893,0022200272,34,29
1916,0022200273,29,24
1917,0022200273,24,29
1906,0022200274,25,31
1907,0022200274,31,25
1915,0022200275,22,36
1914,0022200275,36,22
1898,0022200276,23,35
1899,0022200276,35,23
1903,0022200277,28,38
1902,0022200277,38,28
1905,0022200278,33,38
1904,0022200278,38,33
1912,0022200279,25,44
1913,0022200279,44,25
1901,0022200280,25,30
1900,0022200280,30,25
1891,0022200281,30,32
1890,0022200281,32,30
1911,0022200282,33,21
1910,0022200282,21,33
1909,0022200283,22,23
1908,0022200283,23,22
1897,0022200284,37,23
1896,0022200284,23,37
1895,0022200285,31,26
1894,0022200285,26,31
1889,0022200286,24,29
1888,0022200286,29,24
1887,0022200287,22,23
1886,0022200287,23,22
1884,0022200288,34,33
1885,0022200288,33,34
1883,0022200289,32,22
1882,0022200289,22,32
1881,0022200290,31,24
1880,0022200290,24,31
1874,0022200291,47,27
1875,0022200291,27,47
1879,0022200292,35,29
1878,0022200292,29,35
1865,0022200293,31,23
1864,0022200293,23,31
1866,0022200294,35,26
1867,0022200294,26,35
1871,0022200295,26,20
1870,0022200295,20,26
1877,0022200296,25,26
1876,0022200296,26,25
1873,0022200297,36,32
1872,0022200297,32,36
1869,0022200298,33,41
1868,0022200298,41,33
1854,0022200299,23,34
1855,0022200299,34,23
1851,0022200300,33,38
1850,0022200300,38,33
1853,0022200301,19,45
1852,0022200301,45,19
1844,0022200302,28,23
1845,0022200302,23,28
1857,0022200303,26,24
1856,0022200303,24,26
1859,0022200304,26,34
1858,0022200304,34,26
1862,0022200305,39,42
1863,0022200305,42,39
1860,0022200306,27,27
1847,0022200307,31,26
1846,0022200307,26,31
1849,0022200308,29,32
