player_id,player_name,team_id,game_date,prob_3_plus,prob_2_plus,prob_1_plus,is_playing_today
1630559,Austin Reaves,1610612747,2025-01-21,0.33812410600780723,0.5942118813507989,0.8521728353999891,1
2544,LeBron James,1610612747,2025-01-21,0.37963667229531756,0.5419763923776064,0.8500499284182533,0
1629652,Luguentz Dort,1610612760,2025-01-22,0.34744083339713283,0.5569748662615392,0.8447600705909355,1
1628983,Shai Gilgeous-Alexander,1610612760,2025-01-22,0.23931824321427925,0.45938086396503225,0.8438549280222954,1
1631124,Julian Strawther,1610612743,2025-01-21,0.33936187332092643,0.5571642567437735,0.8435948084975992,0
1641711,Gradey Dick,1610612761,2025-01-21,0.2937270177394857,0.5671462327968482,0.8434272146630485,1
203924,Jerami Grant,1610612757,2025-01-21,0.4279329333550921,0.5972653977881974,0.8420722441119344,1
1628960,Grayson Allen,1610612756,2025-01-22,0.40018480822626995,0.575576197370045,0.8385636267575709,0
1642377,Jaylen Wells,1610612763,2025-01-22,0.39452268046985195,0.512723585718123,0.8372289234125323,0
1629004,Svi Mykhailiuk,1610612762,2025-01-22,0.34327540743031276,0.5197726788687539,0.8257493662354958,0
1629675,Naz Reid,1610612750,2025-01-22,0.3547481312443652,0.5764905463220585,0.8240412919261848,0
1628969,Mikal Bridges,1610612752,2025-01-21,0.5168973985938123,0.5693604771801046,0.8238155370967946,0
204001,Kristaps Porziņģis,1610612738,2025-01-20,0.3223854359070783,0.565266163140789,0.8205902682916731,0
1629628,RJ Barrett,1610612761,2025-01-21,0.374592476793698,0.5623071914138386,0.818235644809548,1
1631165,Keon Ellis,1610612758,2025-01-22,0.259574425907038,0.5677830734249523,0.8111906023477867,0
1641730,Noah Clowney,1610612751,2025-01-22,0.3093865757306265,0.5314759741603367,0.8054629044863314,0
1627750,Jamal Murray,1610612743,2025-01-21,0.3959442972957107,0.5536792376499389,0.8031632855946227,1
1628973,Jalen Brunson,1610612752,2025-01-21,0.4614731945317446,0.5634535671741306,0.8029393221425424,0
1629656,Quentin Grimes,1610612742,2025-01-22,0.2979030702459727,0.5230609117159036,0.8013822826892288,0
1629631,De'Andre Hunter,1610612737,2025-01-22,0.3632985059339606,0.5983407240446798,0.7982600506984214,0
1630631,Jose Alvarado,1610612740,2025-01-20,0.366644591908096,0.5644790611556879,0.795946360446592,0
1629622,Max Strus,1610612739,2025-01-22,0.3839457372712978,0.5614746384529407,0.7943931396167258,0
1631260,AJ Green,1610612749,2025-01-17,0.2846028315043604,0.4852738649575217,0.7918819506307754,0
1628366,Lonzo Ball,1610612741,2025-01-20,0.28943473279347914,0.5638390614414736,0.7908964326416755,0
201569,Eric Gordon,1610612755,2025-01-21,0.34512027189503713,0.4882772261460124,0.7831903942452345,0
