game_id,game_date,rebounds,minutes,fouls,player_id,player_name,team_id
22200918,2023-02-26,5,25,3,201566,Russell Westbrook,1610612743
22200932,2023-02-28,7,28,2,201566,Russell Westbrook,1610612743
22200945,2023-03-02,0,28,3,201566,Russell Westbrook,1610612743
22200954,2023-03-03,2,36,1,201566,Russell Westbrook,1610612743
22200970,2023-03-05,5,34,3,201566,Russell Westbrook,1610612743
22200991,2023-03-08,2,23,2,201566,Russell Westbrook,1610612743
22201004,2023-03-11,5,23,2,201566,Russell Westbrook,1610612743
22201041,2023-03-15,9,27,1,201566,Russell Westbrook,1610612743
22201056,2023-03-18,5,37,2,201566,Russell Westbrook,1610612743
22201069,2023-03-19,12,34,1,201566,Russell Westbrook,1610612743
22201082,2023-03-21,8,26,4,201566,Russell Westbrook,1610612743
22201096,2023-03-23,2,30,2,201566,Russell Westbrook,1610612743
22201112,2023-03-25,3,26,2,201566,Russell Westbrook,1610612743
22201129,2023-03-27,5,33,0,201566,Russell Westbrook,1610612743
22201141,2023-03-29,4,35,1,201566,Russell Westbrook,1610612743
22201156,2023-03-31,4,26,0,201566,Russell Westbrook,1610612743
22201162,2023-04-01,3,40,5,201566,Russell Westbrook,1610612743
22201196,2023-04-05,3,21,0,201566,Russell Westbrook,1610612743
22201215,2023-04-08,6,25,0,201566,Russell Westbrook,1610612743
22201229,2023-04-09,7,40,1,201566,Russell Westbrook,1610612743
22300074,2023-10-25,5,29,3,201566,Russell Westbrook,1610612743
22300085,2023-10-27,9,37,4,201566,Russell Westbrook,1610612743
22300099,2023-10-29,8,27,3,201566,Russell Westbrook,1610612743
22300114,2023-10-31,6,33,4,201566,Russell Westbrook,1610612743
22300127,2023-11-01,11,44,5,201566,Russell Westbrook,1610612743
22300151,2023-11-06,4,31,2,201566,Russell Westbrook,1610612743
22300160,2023-11-08,7,31,1,201566,Russell Westbrook,1610612743
22300014,2023-11-10,5,20,1,201566,Russell Westbrook,1610612743
22300179,2023-11-12,9,31,3,201566,Russell Westbrook,1610612743
22300024,2023-11-14,6,24,3,201566,Russell Westbrook,1610612743
22300037,2023-11-17,3,17,1,201566,Russell Westbrook,1610612743
