Date,Close,High,Low,Open,Year,Month,Day,Ticker,Above1Pct,Above2Pct,Above3Pct
,MSFT,MSFT,MSFT,MSFT,,,,,,,
2020-01-23,159.46524047851562,159.54176105873665,158.0783396246795,158.9583044050087,2020,1,23,MSFT,0,0,0
2020-01-28,158.2600860595703,158.54702001342997,155.97408646002853,156.65318294390897,2020,1,28,MSFT,0,0,0
2020-02-07,175.88807678222656,177.5523664162411,174.53942904060133,174.89333851711444,2020,2,7,MSFT,1,1,1
2020-02-12,176.67242431640625,177.76281708651973,173.9368754938677,177.50456194246922,2020,2,12,MSFT,0,0,0
2020-02-27,151.71014404296875,160.19816884328267,151.51832733269637,156.63992276849788,2020,2,27,MSFT,0,0,0
2020-03-03,157.7812042236328,167.84214735347513,155.62323375765956,166.69123269855749,2020,3,3,MSFT,1,1,1
2020-03-13,152.3335418701172,155.28756555885374,134.97386167221535,141.4669594334102,2020,3,13,MSFT,0,0,0
2020-03-18,134.6573486328125,140.02830309868634,129.49741152500056,132.35551936725145,2020,3,18,MSFT,0,0,0
2020-03-23,130.4181365966797,134.8204073585906,127.09966584811548,131.4060063254147,2020,3,23,MSFT,0,0,0
2020-04-02,148.90953063964844,149.1205333426893,144.20995691120478,145.64860372211677,2020,4,2,MSFT,1,1,1
2020-04-07,156.80291748046875,163.04663940325247,156.58231443137095,162.65340576060566,2020,4,7,MSFT,1,1,1
2020-04-17,171.29490661621094,172.6376379463687,168.67655857039247,172.15808895207323,2020,4,17,MSFT,1,1,1
2020-04-22,166.42269897460938,166.88306194433304,163.83313714723573,164.37981542978102,2020,4,22,MSFT,0,0,0
2020-04-27,166.93096923828125,169.66438909285577,166.21164591318208,169.3670711266954,2020,4,27,MSFT,0,0,0
2020-05-07,176.0904083251953,177.0015485483026,175.11212421375677,176.63708660518972,2020,5,7,MSFT,1,1,1
2020-05-12,175.0449981689453,179.3897116196799,174.84359575277097,179.15953742976635,2020,5,12,MSFT,0,0,0
2020-05-22,176.49423217773438,177.40792451089615,175.5613150299815,176.18647371453594,2020,5,22,MSFT,0,0,0
2020-05-27,174.8592529296875,175.03237901396807,169.84844370116082,173.3108039570083,2020,5,27,MSFT,0,0,0
2020-06-01,175.8402862548828,176.0037852779686,174.52266698473346,175.56136493428608,2020,6,1,MSFT,0,0,0
2020-06-11,179.1487579345703,188.2759385020474,178.95640702435136,185.7464954155726,2020,6,11,MSFT,1,0,0
