Date,Close,High,Low,Open,Year,Month,Day,Ticker,Above1Pct,Above2Pct,Above3Pct
,CSCO,CSCO,CSCO,CSCO,,,,,,,
2020-01-23,41.95228576660156,42.1063964653936,41.44714586856676,41.95228576660156,2020,1,23,CSCO,0,0,0
2020-01-28,40.899200439453125,41.07043492162016,40.668034378431535,40.68515815325085,2020,1,28,CSCO,0,0,0
2020-02-07,41.070430755615234,41.755365348780515,40.984811890203474,41.6098149105934,2020,2,7,CSCO,0,0,0
2020-02-12,42.74852752685547,43.04818543420325,42.29475890543562,42.32044293577222,2020,2,12,CSCO,1,1,1
2020-02-27,34.28101348876953,36.04471984437051,34.25532619341754,35.34266140390342,2020,2,27,CSCO,0,0,0
2020-03-03,34.28101348876953,35.87348862749648,33.99847610208038,35.325537629010796,2020,3,3,CSCO,0,0,0
2020-03-13,32.2261962890625,32.260443828287514,28.536110487232744,30.12002161710084,2020,3,13,CSCO,0,0,0
2020-03-18,31.780990600585938,32.286130413174504,28.518988981994426,28.904262397778197,2020,3,18,CSCO,0,0,0
2020-03-23,29.623441696166992,30.66796876624137,28.88713920892815,30.402555239871223,2020,3,23,CSCO,0,0,0
2020-04-02,34.39860534667969,34.528249652936445,32.384819322568575,32.704604435145804,2020,4,2,CSCO,1,1,1
2020-04-07,35.124603271484375,36.93960692236391,35.08138960534254,36.870462418943866,2020,4,7,CSCO,1,1,0
2020-04-17,36.71489334106445,36.85317906130043,36.075323121344915,36.51610782428721,2020,4,17,CSCO,1,1,1
2020-04-22,36.09259796142578,36.37781405082992,35.53081378976721,35.66909947938988,2020,4,22,CSCO,0,0,0
2020-04-27,37.2161750793457,37.354460777071,36.80131798616982,36.90503143521602,2020,4,27,CSCO,1,1,1
2020-05-07,35.75553512573242,36.101251078794405,35.62589411607794,35.94567922961568,2020,5,7,CSCO,0,0,0
2020-05-12,37.35446548461914,38.287893237651126,37.32853464634637,37.976749554309954,2020,5,12,CSCO,1,1,1
2020-05-22,38.80646514892578,38.84967881450539,38.13231943731686,38.607676352675185,2020,5,22,CSCO,1,1,1
2020-05-27,39.72261428833008,39.73990041725006,38.72004188991504,38.92747213996282,2020,5,27,CSCO,1,1,0
