player_id,player_name,team_id,predicted_probability
202691,Klay Thompson,1610612742,0.75838435
1628374,Lauri Markkanen,1610612762,0.75838435
1628978,Donte DiVincenzo,1610612750,0.75838435
1629636,Darius Garland,1610612739,0.7495327
1626220,Royce O'Neale,1610612756,0.70871854
1630560,Cam Thomas,1610612751,0.70871854
2544,LeBron James,1610612747,0.70871854
203924,Jerami Grant,1610612757,0.70871854
1628370,Malik Monk,1610612758,0.70871854
1630224,Jalen Green,1610612745,0.70871854
1629012,Collin Sexton,1610612762,0.70871854
1629632,Coby White,1610612741,0.6035555
1627832,Fred VanVleet,1610612745,0.5632057
1627750,Jamal Murray,1610612743,0.5167572
1630559,Austin Reaves,1610612747,0.5167572
1627736,Malik Beasley,1610612749,0.51229817
1630202,Payton Pritchard,1610612738,0.51229817
1629631,De'Andre Hunter,1610612737,0.51229817
1629130,Duncan Robinson,1610612748,0.51229817
1629652,Luguentz Dort,1610612760,0.49987748
203999,Nikola Jokić,1610612743,0.46508232
1626164,Devin Booker,1610612756,0.46508232
1627742,Brandon Ingram,1610612740,0.46508232
1630595,Cade Cunningham,1610612765,0.46508232
1627783,Pascal Siakam,1610612754,0.46508232
