player_id,player_name,team_id,predicted_probability
1629673,Jordan Poole,1610612764,0.51534706
1641706,Brandon Miller,1610612766,0.51534706
1628369,Jayson Tatum,1610612738,0.51534706
1629029,Luka Dončić,1610612742,0.51534706
1629027,Trae Young,1610612737,0.51534706
1630530,Trey Murphy III,1610612740,0.51534706
1630178,Tyrese Maxey,1610612755,0.49097452
203081,Damian Lillard,1610612749,0.49097452
1629014,Anfernee Simons,1610612757,0.49097452
1630162,Anthony Edwards,1610612750,0.4852555
1641705,Victor Wembanyama,1610612759,0.4852555
203897,Zach LaVine,1610612741,0.4852555
203468,CJ McCollum,1610612740,0.46095255
202681,Kyrie Irving,1610612742,0.46095255
1630169,Tyrese Haliburton,1610612754,0.46095255
1629008,Michael Porter Jr.,1610612743,0.41410115
201939,Stephen Curry,1610612744,0.41347218
1630163,LaMelo Ball,1610612766,0.41347218
1626181,Norman Powell,1610612746,0.41347218
1628969,Mikal Bridges,1610612751,0.41209215
1628401,Derrick White,1610612738,0.3971997
1629639,Tyler Herro,1610612748,0.3971997
1628415,Dillon Brooks,1610612745,0.3852225
1628378,Donovan Mitchell,1610612739,0.38503858
1629661,Cameron Johnson,1610612751,0.38503858
