game_id,game_date,points,fga,minutes,fouls,player_id,player_name,team_id
0022300066,2023-10-25,8,10,21,2,1641708,Amen Thompson,1610612745
0022300083,2023-10-27,4,4,13,1,1641708,Amen Thompson,1610612745
0022300096,2023-10-29,9,5,20,3,1641708,Amen Thompson,1610612745
0022300122,2023-11-01,4,3,13,3,1641708,Amen Thompson,1610612745
0022300298,2023-12-11,2,2,10,1,1641708,Amen Thompson,1610612745
0022300371,2023-12-20,2,2,8,1,1641708,Amen Thompson,1610612745
0022300385,2023-12-22,9,9,22,4,1641708,Amen Thompson,1610612745
0022300392,2023-12-23,2,1,10,0,1641708,Amen Thompson,1610612745
0022300409,2023-12-26,7,5,12,1,1641708,Amen Thompson,1610612745
0022300418,2023-12-27,2,6,17,2,1641708,Amen Thompson,1610612745
0022300434,2023-12-29,1,1,9,1,1641708,Amen Thompson,1610612745
0022300453,2024-01-01,12,6,28,3,1641708,Amen Thompson,1610612745
0022300469,2024-01-03,10,7,20,1,1641708,Amen Thompson,1610612745
0022300485,2024-01-05,6,9,20,3,1641708,Amen Thompson,1610612745
0022300496,2024-01-06,4,3,16,2,1641708,Amen Thompson,1610612745
0022300509,2024-01-08,5,2,11,3,1641708,Amen Thompson,1610612745
0022300523,2024-01-10,6,7,14,2,1641708,Amen Thompson,1610612745
0022300534,2024-01-12,2,2,8,0,1641708,Amen Thompson,1610612745
0022300542,2024-01-13,10,10,25,0,1641708,Amen Thompson,1610612745
0022300555,2024-01-15,14,8,19,2,1641708,Amen Thompson,1610612745
0022300573,2024-01-17,4,3,10,2,1641708,Amen Thompson,1610612745
0022300598,2024-01-20,6,6,18,3,1641708,Amen Thompson,1610612745
0022300603,2024-01-21,15,10,32,3,1641708,Amen Thompson,1610612745
0022300623,2024-01-24,6,5,14,3,1641708,Amen Thompson,1610612745
0022300635,2024-01-26,13,6,23,2,1641708,Amen Thompson,1610612745
0022300645,2024-01-27,5,3,15,3,1641708,Amen Thompson,1610612745
0022300662,2024-01-29,0,1,12,3,1641708,Amen Thompson,1610612745
0022300679,2024-01-31,10,6,17,3,1641708,Amen Thompson,1610612745
0022300692,2024-02-02,19,11,24,3,1641708,Amen Thompson,1610612745
0022300709,2024-02-04,8,7,20,1,1641708,Amen Thompson,1610612745
0022300719,2024-02-06,13,12,34,3,1641708,Amen Thompson,1610612745
0022300744,2024-02-09,8,5,32,4,1641708,Amen Thompson,1610612745
0022300754,2024-02-10,12,10,33,5,1641708,Amen Thompson,1610612745
0022300765,2024-02-12,8,5,38,2,1641708,Amen Thompson,1610612745
0022300783,2024-02-14,19,17,34,6,1641708,Amen Thompson,1610612745
0022300798,2024-02-22,22,13,28,1,1641708,Amen Thompson,1610612745
0022300806,2024-02-23,15,11,33,1,1641708,Amen Thompson,1610612745
0022300822,2024-02-25,6,10,21,3,1641708,Amen Thompson,1610612745
0022300841,2024-02-27,2,5,17,1,1641708,Amen Thompson,1610612745
0022300854,2024-02-29,0,2,10,4,1641708,Amen Thompson,1610612745
0022300870,2024-03-02,9,5,21,2,1641708,Amen Thompson,1610612745
0022300891,2024-03-05,2,4,19,2,1641708,Amen Thompson,1610612745
0022300897,2024-03-06,6,6,18,3,1641708,Amen Thompson,1610612745
0022300916,2024-03-08,16,10,26,3,1641708,Amen Thompson,1610612745
0022300929,2024-03-10,13,9,20,3,1641708,Amen Thompson,1610612745
0022300942,2024-03-12,6,2,23,1,1641708,Amen Thompson,1610612745
0022300957,2024-03-14,20,12,28,3,1641708,Amen Thompson,1610612745
0022300967,2024-03-16,18,11,26,3,1641708,Amen Thompson,1610612745
0022300992,2024-03-19,25,12,32,1,1641708,Amen Thompson,1610612745
0022301006,2024-03-21,15,9,26,3,1641708,Amen Thompson,1610612745
0022301024,2024-03-23,4,9,30,3,1641708,Amen Thompson,1610612745
0022301038,2024-03-25,12,12,28,0,1641708,Amen Thompson,1610612745
0022301057,2024-03-27,25,18,39,5,1641708,Amen Thompson,1610612745
0022301072,2024-03-29,18,12,40,1,1641708,Amen Thompson,1610612745
0022301083,2024-03-31,8,8,20,3,1641708,Amen Thompson,1610612745
0022301098,2024-04-02,9,9,25,2,1641708,Amen Thompson,1610612745
0022301113,2024-04-04,8,7,30,3,1641708,Amen Thompson,1610612745
0022301131,2024-04-07,5,1,8,1,1641708,Amen Thompson,1610612745
0022301150,2024-04-09,13,7,38,2,1641708,Amen Thompson,1610612745
0022301168,2024-04-11,15,12,35,0,1641708,Amen Thompson,1610612745
0022301183,2024-04-12,17,12,35,1,1641708,Amen Thompson,1610612745
0022301199,2024-04-14,18,9,40,5,1641708,Amen Thompson,1610612745
0022400068,2024-10-23,13,11,22,3,1641708,Amen Thompson,1610612745
0022400082,2024-10-25,9,4,24,3,1641708,Amen Thompson,1610612745
0022400094,2024-10-26,1,3,20,2,1641708,Amen Thompson,1610612745
0022400109,2024-10-28,7,5,19,2,1641708,Amen Thompson,1610612745
0022400129,2024-10-31,10,5,18,2,1641708,Amen Thompson,1610612745
0022400144,2024-11-02,18,15,34,2,1641708,Amen Thompson,1610612745
0022400161,2024-11-04,12,8,33,3,1641708,Amen Thompson,1610612745
0022400173,2024-11-06,8,4,24,1,1641708,Amen Thompson,1610612745
