game_id,game_date,3points,fg3a,minutes,fouls,player_id,player_name,team_id
22200403,2022-12-12,3,6,33,1,201142,Kevin Durant,1610612756
22200433,2022-12-16,2,3,37,3,201142,Kevin Durant,1610612756
22200447,2022-12-18,3,5,36,3,201142,Kevin Durant,1610612756
22200470,2022-12-21,1,3,29,2,201142,Kevin Durant,1610612756
22200483,2022-12-23,2,6,34,2,201142,Kevin Durant,1610612756
22200498,2022-12-26,5,8,36,6,201142,Kevin Durant,1610612756
22200517,2022-12-28,1,4,36,3,201142,Kevin Durant,1610612756
22200539,2022-12-31,1,6,30,3,201142,Kevin Durant,1610612756
22200555,2023-01-02,0,1,29,1,201142,Kevin Durant,1610612756
22200570,2023-01-04,5,10,38,2,201142,Kevin Durant,1610612756
22200586,2023-01-06,4,7,38,1,201142,Kevin Durant,1610612756
22200599,2023-01-08,1,3,30,1,201142,Kevin Durant,1610612756
22200933,2023-03-01,2,4,27,0,201142,Kevin Durant,1610612756
22200950,2023-03-03,2,4,31,2,201142,Kevin Durant,1610612756
22200962,2023-03-05,3,5,40,3,201142,Kevin Durant,1610612756
22201144,2023-03-29,2,4,29,0,201142,Kevin Durant,1610612756
22201160,2023-03-31,2,3,33,0,201142,Kevin Durant,1610612756
22201172,2023-04-02,3,7,35,1,201142,Kevin Durant,1610612756
22201188,2023-04-04,2,4,34,1,201142,Kevin Durant,1610612756
22201201,2023-04-06,6,10,41,0,201142,Kevin Durant,1610612756
22300062,2023-10-24,1,2,37,1,201142,Kevin Durant,1610612756
22300076,2023-10-26,1,5,39,2,201142,Kevin Durant,1610612756
22300094,2023-10-28,1,4,29,1,201142,Kevin Durant,1610612756
22300113,2023-10-31,1,3,37,0,201142,Kevin Durant,1610612756
22300131,2023-11-02,3,5,37,3,201142,Kevin Durant,1610612756
22300132,2023-11-04,1,4,36,1,201142,Kevin Durant,1610612756
22300140,2023-11-05,1,3,35,1,201142,Kevin Durant,1610612756
22300162,2023-11-08,2,5,42,2,201142,Kevin Durant,1610612756
22300015,2023-11-10,4,6,39,4,201142,Kevin Durant,1610612756
22300185,2023-11-12,3,5,36,1,201142,Kevin Durant,1610612756
22300197,2023-11-15,2,2,35,3,201142,Kevin Durant,1610612756
22300035,2023-11-17,6,8,33,1,201142,Kevin Durant,1610612756
22300214,2023-11-19,4,9,46,2,201142,Kevin Durant,1610612756
22300041,2023-11-21,2,2,37,4,201142,Kevin Durant,1610612756
22300236,2023-11-22,3,4,34,2,201142,Kevin Durant,1610612756
22300260,2023-11-29,2,8,36,1,201142,Kevin Durant,1610612756
22300279,2023-12-01,1,3,36,2,201142,Kevin Durant,1610612756
22300288,2023-12-02,2,3,33,1,201142,Kevin Durant,1610612756
22301203,2023-12-05,4,7,39,5,201142,Kevin Durant,1610612756
22300317,2023-12-13,1,5,38,3,201142,Kevin Durant,1610612756
22300333,2023-12-15,4,9,36,1,201142,Kevin Durant,1610612756
22300347,2023-12-17,0,2,35,1,201142,Kevin Durant,1610612756
22300363,2023-12-19,1,3,38,1,201142,Kevin Durant,1610612756
22300387,2023-12-22,2,3,34,0,201142,Kevin Durant,1610612756
22300405,2023-12-25,1,3,43,2,201142,Kevin Durant,1610612756
22300418,2023-12-27,3,7,41,2,201142,Kevin Durant,1610612756
22300436,2023-12-29,3,3,39,2,201142,Kevin Durant,1610612756
22300450,2023-12-31,2,5,39,1,201142,Kevin Durant,1610612756
22300503,2024-01-07,0,1,36,1,201142,Kevin Durant,1610612756
22300511,2024-01-08,3,6,35,2,201142,Kevin Durant,1610612756
22300531,2024-01-11,2,5,32,0,201142,Kevin Durant,1610612756
22300554,2024-01-14,2,5,38,4,201142,Kevin Durant,1610612756
22300567,2024-01-16,4,8,39,3,201142,Kevin Durant,1610612756
22300588,2024-01-19,3,8,35,1,201142,Kevin Durant,1610612756
22300604,2024-01-21,4,7,40,4,201142,Kevin Durant,1610612756
22300612,2024-01-22,6,15,41,2,201142,Kevin Durant,1610612756
22300625,2024-01-24,0,4,38,4,201142,Kevin Durant,1610612756
22300636,2024-01-26,2,4,39,1,201142,Kevin Durant,1610612756
22300655,2024-01-28,1,3,37,3,201142,Kevin Durant,1610612756
22300661,2024-01-29,2,5,42,0,201142,Kevin Durant,1610612756
22300677,2024-01-31,2,6,38,1,201142,Kevin Durant,1610612756
22300690,2024-02-02,5,9,38,3,201142,Kevin Durant,1610612756
22300705,2024-02-04,3,3,26,0,201142,Kevin Durant,1610612756
22300725,2024-02-06,1,5,39,3,201142,Kevin Durant,1610612756
22300739,2024-02-08,2,6,35,1,201142,Kevin Durant,1610612756
22300757,2024-02-10,2,8,39,0,201142,Kevin Durant,1610612756
22300774,2024-02-13,2,5,38,2,201142,Kevin Durant,1610612756
22300787,2024-02-14,1,3,30,2,201142,Kevin Durant,1610612756
22300796,2024-02-22,2,8,40,3,201142,Kevin Durant,1610612756
22300806,2024-02-23,1,7,38,3,201142,Kevin Durant,1610612756
22300818,2024-02-25,2,8,39,2,201142,Kevin Durant,1610612756
22300854,2024-02-29,1,3,40,1,201142,Kevin Durant,1610612756
22300870,2024-03-02,1,4,39,1,201142,Kevin Durant,1610612756
22300878,2024-03-03,2,4,36,2,201142,Kevin Durant,1610612756
22300893,2024-03-05,3,8,44,1,201142,Kevin Durant,1610612756
22300905,2024-03-07,2,5,35,1,201142,Kevin Durant,1610612756
22300920,2024-03-09,4,7,37,2,201142,Kevin Durant,1610612756
22300934,2024-03-11,5,10,39,2,201142,Kevin Durant,1610612756
22300955,2024-03-14,1,3,34,1,201142,Kevin Durant,1610612756
22300961,2024-03-15,1,6,38,1,201142,Kevin Durant,1610612756
22300976,2024-03-17,1,3,41,3,201142,Kevin Durant,1610612756
22301002,2024-03-20,2,6,36,1,201142,Kevin Durant,1610612756
22301010,2024-03-21,2,8,37,1,201142,Kevin Durant,1610612756
22301025,2024-03-23,1,2,31,0,201142,Kevin Durant,1610612756
22301039,2024-03-25,4,6,36,2,201142,Kevin Durant,1610612756
22301059,2024-03-27,3,4,38,1,201142,Kevin Durant,1610612756
22301069,2024-03-29,4,7,31,2,201142,Kevin Durant,1610612756
22301092,2024-04-01,3,11,41,2,201142,Kevin Durant,1610612756
22301110,2024-04-03,3,7,36,2,201142,Kevin Durant,1610612756
22301125,2024-04-05,1,4,35,4,201142,Kevin Durant,1610612756
22301138,2024-04-07,3,8,38,1,201142,Kevin Durant,1610612756
22301156,2024-04-09,2,5,40,2,201142,Kevin Durant,1610612756
22301165,2024-04-10,2,9,37,0,201142,Kevin Durant,1610612756
22301185,2024-04-12,3,7,42,2,201142,Kevin Durant,1610612756
22301194,2024-04-14,1,3,38,3,201142,Kevin Durant,1610612756
22400071,2024-10-23,2,5,44,4,201142,Kevin Durant,1610612756
22400085,2024-10-25,2,3,39,3,201142,Kevin Durant,1610612756
22400095,2024-10-26,4,8,39,0,201142,Kevin Durant,1610612756
22400111,2024-10-28,2,6,38,2,201142,Kevin Durant,1610612756
22400131,2024-10-31,2,4,39,1,201142,Kevin Durant,1610612756
22400149,2024-11-02,3,8,38,1,201142,Kevin Durant,1610612756
22400167,2024-11-04,2,5,39,2,201142,Kevin Durant,1610612756
22400178,2024-11-06,4,11,37,1,201142,Kevin Durant,1610612756
22400190,2024-11-08,3,6,37,2,201142,Kevin Durant,1610612756
22400039,2024-11-26,3,6,30,2,201142,Kevin Durant,1610612756
22400297,2024-11-27,3,6,33,3,201142,Kevin Durant,1610612756
22400303,2024-11-30,3,8,36,1,201142,Kevin Durant,1610612756
22400057,2024-12-03,2,2,16,0,201142,Kevin Durant,1610612756
22401214,2024-12-13,2,5,34,2,201142,Kevin Durant,1610612756
22401219,2024-12-15,1,9,36,1,201142,Kevin Durant,1610612756
22400369,2024-12-19,3,6,38,1,201142,Kevin Durant,1610612756
22400387,2024-12-21,4,9,39,4,201142,Kevin Durant,1610612756
22400402,2024-12-23,2,3,31,1,201142,Kevin Durant,1610612756
22400409,2024-12-25,0,5,38,3,201142,Kevin Durant,1610612756
22400425,2024-12-27,3,4,38,1,201142,Kevin Durant,1610612756
22400431,2024-12-28,1,5,37,2,201142,Kevin Durant,1610612756
22400453,2024-12-31,2,5,39,2,201142,Kevin Durant,1610612756
22400480,2025-01-04,1,3,38,1,201142,Kevin Durant,1610612756
22400494,2025-01-06,3,4,34,1,201142,Kevin Durant,1610612756
22400502,2025-01-07,1,6,36,2,201142,Kevin Durant,1610612756
22400522,2025-01-09,2,7,36,1,201142,Kevin Durant,1610612756
0022400533,2025-01-11,1,4,36,1,201142,Kevin Durant,1610612756
